hemsId,date,postal,main,solarGenerated,solarSold,batteryCharge,batteryDischarge,fuelCell,gasUsage,waterUsage
HGW1540053189,2016-05-24T00:00:00,276-0046,160,,,,,,,
HGW1849081661,2016-05-24T00:00:00,261-0013,170,,,,,,,
HGW2592410415,2016-05-24T00:00:00,276-0046,60,,,,,272,0.07,
HGW4192227781,2016-05-24T00:00:00,206-0824,120,,,,,250,0.07,
HGW2440335259,2016-05-24T00:00:00,206-0824,60,,,,,249,0.07,
HGW0022302486,2016-05-24T00:00:00,276-0046,770,,,,,,,
HGW0119000400,2016-05-24T00:00:00,276-0046,1250,,,716,,,0.02,
HGW0527078356,2016-05-24T00:00:00,206-0824,190,,,,,,,
HGW3418795782,2016-05-24T00:00:00,276-0046,250,,,,,,,
HGW4086841355,2016-05-24T00:00:00,261-0013,340,,,,,,0.02,
HGW2053016894,2016-05-24T00:00:00,261-0013,120,,,,,481,0.13,
HGW2056923843,2016-05-24T00:00:00,276-0046,790,,,359,,,,
HGW1567490790,2016-05-24T00:00:00,276-0046,930,,,638,,,,
HGW2731818357,2016-05-24T00:00:00,276-0046,120,,,,,,,
HGW0999938138,2016-05-24T00:00:00,261-0013,790,,,,,,0.02,
HGW1484386037,2016-05-24T00:00:00,261-0013,40,,,,,189,0.07,
HGW2626196856,2016-05-24T00:00:00,276-0046,180,,,,,337,0.1,
HGW3813403007,2016-05-24T00:00:00,261-0013,110,,,,,,,
HGW0341161038,2016-05-24T00:00:00,276-0046,790,,,,,,,
HGW3506558406,2016-05-24T00:00:00,276-0046,310,,,,,,,
HGW3088922230,2016-05-24T00:00:00,206-0824,2500,,,2166,,,,
HGW3316354389,2016-05-24T00:00:00,276-0046,450,,,,,,0.03,
HGW3835466207,2016-05-24T00:00:00,261-0013,120,,,,,296,,
HGW3938264288,2016-05-24T00:00:00,261-0013,120,,,,,,,
HGW0960788623,2016-05-24T00:00:00,206-0824,240,,,,,347,,
HGW2465318239,2016-05-24T00:00:00,206-0824,60,,,,,520,,
HGW4201723405,2016-05-24T00:00:00,206-0824,230,,,,,,,
HGW2984162470,2016-05-24T00:00:00,206-0824,621,,,132,11,,,
HGW2862754275,2016-05-24T00:00:00,573-0084,324,,,,,,,
HGW2864422167,2016-05-24T00:00:00,274-0063,304,,,,41,360,0.09,0.049
HGW1145276568,2016-05-24T00:00:00,194-0032,258,,,,,,,
HGW1628028254,2016-05-24T00:00:00,245-0016,173,,,,,,,0.009
HGW3819013474,2016-05-24T00:00:00,245-0016,430,,,,,,,
HGW0109674464,2016-05-24T00:00:00,245-0016,635,,,,,,,0.012
HGW4266179256,2016-05-24T00:00:00,595-0813,883,,,,82,,,
HGW2675582057,2016-05-24T00:00:00,274-0063,2663,,,1466,,,,
HGW2507102389,2016-05-24T00:00:00,245-0016,246,,,,,,,
HGW0292545493,2016-05-24T00:00:00,194-0032,341,,,,,,,
HGW1888757583,2016-05-24T00:00:00,194-0032,137,,,,,,,
HGW3087458710,2016-05-24T00:00:00,573-0084,56,,,,,224,0.065,
HGW2360924179,2016-05-24T00:00:00,245-0016,154,,,,,301,0.085,
HGW2979506575,2016-05-24T00:00:00,573-0084,341,,,,,,,0.005
HGW3939678160,2016-05-24T00:00:00,573-0084,287,,,,,329,0.125,0.013
HGW1901037140,2016-05-24T00:00:00,573-0084,2938,,,998,,,,0.03
HGW2794906293,2016-05-24T00:00:00,194-0032,1367,,,,,,,
HGW1255839825,2016-05-24T00:00:00,573-0084,50,,,,,187,0.075,
HGW1922304917,2016-05-24T00:00:00,274-0063,249,,,,,,,
HGW0723606708,2016-05-24T00:00:00,194-0032,440,,,,,,,0.001
HGW4233223550,2016-05-24T00:00:00,573-0084,44,,,,,203,0.07,
HGW3975340233,2016-05-24T00:00:00,194-0032,424,,,,,,,
HGW1770315374,2016-05-24T00:00:00,245-0016,2679,,,904,,,,0.001
HGW2211161695,2016-05-24T00:00:00,573-0084,207,,,,,,,
HGW3979453947,2016-05-24T00:00:00,274-0063,68,,,,,221,0.03,
HGW3210466135,2016-05-24T00:00:00,573-0084,1111,,,,,,,0.002
HGW1150228943,2016-05-24T00:00:00,194-0032,57,,,,,282,0.085,
HGW3896978369,2016-05-24T00:00:00,245-0016,180,,,,,,,
HGW0224584910,2016-05-24T00:00:00,573-0084,373,,,,,30,0.01,
HGW2352450618,2016-05-24T00:00:00,194-0032,490,,,,,,,0.138
HGW1382864968,2016-05-24T00:00:00,194-0032,387,,,,,,,
HGW3299398081,2016-05-24T00:00:00,595-0813,298,,,,,364,0.09,
HGW3556093971,2016-05-24T00:00:00,595-0813,1113,,,,,,,0.024
HGW1779326846,2016-05-24T00:00:00,595-0813,43,,,,,183,0.07,0.009
HGW0980111669,2016-05-24T00:00:00,245-0016,56,,,,,220,0.04,
HGW0548855049,2016-05-24T00:00:00,245-0016,314,,,,,,,0.087
HGW2019559833,2016-05-24T00:00:00,194-0032,471,,,,,,,0.007
HGW0056767924,2016-05-24T00:00:00,245-0016,2515,,,,,,,0.068
HGW3905059517,2016-05-24T00:00:00,274-0063,501,,,,,,,0.008
HGW3107087926,2016-05-24T00:00:00,595-0813,279,,,,,,,0.007
HGW4090376889,2016-05-24T00:00:00,245-0016,55,,,,,361,0.095,
HGW2896326762,2016-05-24T00:00:00,274-0063,282,,,,,,,0.024
HGW3027793024,2016-05-24T00:00:00,245-0016,112,,,,,449,0.12,
HGW1337358987,2016-05-24T00:00:00,274-0063,240,,,,,,,
HGW3766800683,2016-05-24T00:00:00,194-0032,61,,,,,320,0.09,
HGW2238224375,2016-05-24T00:00:00,573-0084,154,,,890,,167,0.08,
HGW2500187106,2016-05-24T00:00:00,595-0813,98,,,,,291,0.085,
HGW2633657355,2016-05-24T00:00:00,573-0084,75,,,,14,345,0.09,0.012
HGW3036983001,2016-05-24T00:00:00,595-0813,52,,,,,322,0.095,0.038
HGW0340690536,2016-05-24T00:00:00,595-0813,77,,,,,249,0.07,
HGW3521173424,2016-05-24T00:00:00,245-0016,193,,,,,426,0.13,0.004
HGW2405676507,2016-05-24T00:00:00,274-0063,45,,,,,152,0.075,0.021
HGW1633016930,2016-05-24T00:00:00,573-0084,47,,,,,177,0.07,
HGW4048014188,2016-05-24T00:00:00,194-0032,71,,,,,373,0.1,0.004
HGW4228193834,2016-05-24T00:00:00,245-0016,265,,,,,,,
HGW3199834989,2016-05-24T00:00:00,245-0016,93,,,,,267,0.08,0.057
HGW0852590661,2016-05-24T00:00:00,595-0813,103,,,,,223,0.075,0.135
