hemsId,date,postal,main,solarGenerated,solarSold,batteryCharge,batteryDischarge,fuelCell,gasUsage,waterUsage
HGW1540053189,2016-07-28T00:00:00,276-0046,160,,,,,,,
HGW1849081661,2016-07-28T00:00:00,261-0013,190,,,,,,,
HGW2592410415,2016-07-28T00:00:00,276-0046,130,,,,,307,0.08,
HGW4192227781,2016-07-28T00:00:00,206-0824,80,,,,,239,0.06,
HGW2440335259,2016-07-28T00:00:00,206-0824,60,,,,,296,0.09,
HGW0022302486,2016-07-28T00:00:00,276-0046,220,,,,,,,
HGW0119000400,2016-07-28T00:00:00,276-0046,2270,,,961,,,0.01,
HGW3729565342,2016-07-28T00:00:00,206-0824,580,,,,,,,
HGW0527078356,2016-07-28T00:00:00,206-0824,270,,,,,,,
HGW3418795782,2016-07-28T00:00:00,276-0046,70,,,,,182,0.06,
HGW4086841355,2016-07-28T00:00:00,261-0013,,,,,,,,
HGW2053016894,2016-07-28T00:00:00,261-0013,60,,,,,202,0.07,
HGW4262390424,2016-07-28T00:00:00,276-0046,450,,,,,,,
HGW2056923843,2016-07-28T00:00:00,276-0046,2750,,,2159,,,,
HGW1567490790,2016-07-28T00:00:00,276-0046,290,,,,,,,
HGW2731818357,2016-07-28T00:00:00,276-0046,150,,,,,364,0.09,
HGW0999938138,2016-07-28T00:00:00,261-0013,1000,,,,,,,
HGW1484386037,2016-07-28T00:00:00,261-0013,410,,,,,,,
HGW2626196856,2016-07-28T00:00:00,276-0046,400,,,,,357,0.09,
HGW3813403007,2016-07-28T00:00:00,261-0013,280,,,,,,,
HGW0341161038,2016-07-28T00:00:00,276-0046,720,,,,,,,
HGW3506558406,2016-07-28T00:00:00,276-0046,370,,,,,,0.01,
HGW3088922230,2016-07-28T00:00:00,206-0824,2520,,,2131,,,,
HGW0807025331,2016-07-28T00:00:00,261-0013,420,,,,,,,
HGW3316354389,2016-07-28T00:00:00,276-0046,410,,,,,,,
HGW3835466207,2016-07-28T00:00:00,261-0013,340,,,,,,,
HGW3938264288,2016-07-28T00:00:00,261-0013,360,,,,,,,
HGW0960788623,2016-07-28T00:00:00,206-0824,160,,,,,319,,
HGW2465318239,2016-07-28T00:00:00,206-0824,710,,,,,,,
HGW4201723405,2016-07-28T00:00:00,206-0824,2130,,,1645,,,,
HGW2984162470,2016-07-28T00:00:00,206-0824,436,,,229,265,,,
HGW2862754275,2016-07-28T00:00:00,573-0084,1993,,,562,,,,0.011
HGW2864422167,2016-07-28T00:00:00,274-0063,130,,,,,265,0.07,
HGW1145276568,2016-07-28T00:00:00,194-0032,267,,,,,,,0.006
HGW1628028254,2016-07-28T00:00:00,245-0016,796,,,,,,,
HGW3819013474,2016-07-28T00:00:00,245-0016,669,,,,,,,0.013
HGW0109674464,2016-07-28T00:00:00,245-0016,2764,,,1208,,,,0.013
HGW4266179256,2016-07-28T00:00:00,595-0813,372,,,,,,,
