hemsId,date,postal,main,solarGenerated,solarSold,batteryCharge,batteryDischarge,fuelCell,gasUsage,waterUsage
HGW1540053189,2017-02-22T00:00:00,276-0046,230,,,,,,,
HGW1849081661,2017-02-22T00:00:00,261-0013,240,,,,,,,
HGW2592410415,2017-02-22T00:00:00,276-0046,2180,,,2160,,680,0.5,
HGW4192227781,2017-02-22T00:00:00,206-0824,290,,,,,302,0.08,
HGW2440335259,2017-02-22T00:00:00,206-0824,130,,,,,499,0.13,
HGW0022302486,2017-02-22T00:00:00,276-0046,4210,,,1811,,,0.3,
HGW0119000400,2017-02-22T00:00:00,276-0046,2120,,,2181,,618,0.15,
HGW3575684706,2017-02-22T00:00:00,276-0046,,,,,,,,
HGW0615069838,2017-02-22T00:00:00,206-0824,,,,,,,,
HGW3729565342,2017-02-22T00:00:00,206-0824,1470,,,,,,0.35,
HGW0527078356,2017-02-22T00:00:00,206-0824,1890,,,2106,,609,0.14,
HGW1592789004,2017-02-22T00:00:00,276-0046,,,,,,,,
HGW3418795782,2017-02-22T00:00:00,276-0046,50,,,,,212,0.1,
HGW4086841355,2017-02-22T00:00:00,261-0013,810,,,,,439,0.1,
HGW2053016894,2017-02-22T00:00:00,261-0013,60,,,,,286,0.07,
HGW2674981515,2017-02-22T00:00:00,276-0046,40,,,,,181,0.06,
HGW4262390424,2017-02-22T00:00:00,276-0046,1140,,,,,,0.08,
HGW2056923843,2017-02-22T00:00:00,276-0046,4050,,,2160,,,,
HGW1567490790,2017-02-22T00:00:00,276-0046,2520,,,2160,,,,
HGW2731818357,2017-02-22T00:00:00,276-0046,170,,,,,266,0.11,
HGW0999938138,2017-02-22T00:00:00,261-0013,860,,,,,373,0.1,
HGW1484386037,2017-02-22T00:00:00,261-0013,40,,,,,182,0.06,
HGW2626196856,2017-02-22T00:00:00,276-0046,230,,,,,433,0.12,
HGW2550549887,2017-02-22T00:00:00,261-0013,180,,,,,102,0.08,
HGW3813403007,2017-02-22T00:00:00,261-0013,690,,,,849,440,0.4,
HGW0341161038,2017-02-22T00:00:00,276-0046,270,,,,,456,0.15,
HGW3506558406,2017-02-22T00:00:00,276-0046,750,,,,,,,
HGW3088922230,2017-02-22T00:00:00,206-0824,4480,,,2220,,,,
HGW0807025331,2017-02-22T00:00:00,261-0013,50,,,,,190,0.07,
HGW3176292276,2017-02-22T00:00:00,276-0046,1470,,,,,,0.02,
HGW3316354389,2017-02-22T00:00:00,276-0046,360,,,,,632,0.23,
HGW0549372333,2017-02-22T00:00:00,276-0046,390,,,103,,154,,
HGW3938264288,2017-02-22T00:00:00,261-0013,160,,,,,13,,
HGW0960788623,2017-02-22T00:00:00,206-0824,590,,,,,617,,
HGW2465318239,2017-02-22T00:00:00,206-0824,390,,,,,658,,
HGW4201723405,2017-02-22T00:00:00,206-0824,2420,,,228,,,,
HGW3464437875,2017-02-22T00:00:00,276-0046,490,,,,,644,,
HGW3424705551,2017-02-22T00:00:00,276-0046,510,,,,,,0.03,
HGW3475679756,2017-02-22T00:00:00,261-0013,200,,,,,430,0.12,
HGW1883670650,2017-02-22T00:00:00,261-0013,210,,,,,,,
HGW0011113187,2017-02-22T00:00:00,261-0013,4620,,,2175,,,,
HGW1724705971,2017-02-22T00:00:00,206-0824,480,,,,,,0.03,
HGW2942607227,2017-02-22T00:00:00,261-0013,2020,,,,,607,,
HGW0628187266,2017-02-22T00:00:00,206-0824,1860,,,1496,,,,
HGW1195139089,2017-02-22T00:00:00,206-0824,,,,,,,,
HGW2700713230,2017-02-22T00:00:00,206-0824,370,,,,,410,0.1,
HGW3261148883,2017-02-22T00:00:00,261-0013,2470,,,1489,,,,
HGW1448815520,2017-02-22T00:00:00,261-0013,1230,,,1495,,,,
HGW2435917096,2017-02-22T00:00:00,206-0824,,,,,,,,
HGW3657144636,2017-02-22T00:00:00,276-0046,2020,,,1503,,,,
HGW4248700718,2017-02-22T00:00:00,261-0013,,,,,,,,
HGW0418472336,2017-02-22T00:00:00,261-0013,2500,,,1498,,,,
HGW0344115655,2017-02-22T00:00:00,206-0824,,,,,,,,
HGW2862754275,2017-02-22T00:00:00,573-0084,4024,,,2160,,,,
HGW2864422167,2017-02-22T00:00:00,274-0063,173,,,,,584,0.16,0.025
HGW1145276568,2017-02-22T00:00:00,194-0032,63,,,,,254,0.215,0.006
HGW1628028254,2017-02-22T00:00:00,245-0016,3479,,,1138,,,,
HGW3819013474,2017-02-22T00:00:00,245-0016,83,,,,,279,0.165,0.005
HGW0109674464,2017-02-22T00:00:00,245-0016,3199,,,1149,,,,
HGW4266179256,2017-02-22T00:00:00,595-0813,634,,,,141,614,0.16,0.075
