hemsId,date,postal,main,solarGenerated,solarSold,batteryCharge,batteryDischarge,fuelCell,gasUsage,waterUsage
HGW1540053189,2016-10-02T00:00:00,276-0046,200,,,,,,,
HGW1849081661,2016-10-02T00:00:00,261-0013,190,,,,,,,
HGW2592410415,2016-10-02T00:00:00,276-0046,500,,,,,,0.26,
HGW4192227781,2016-10-02T00:00:00,206-0824,310,,,,,,,
HGW2440335259,2016-10-02T00:00:00,206-0824,110,,,,,373,0.11,
HGW0022302486,2016-10-02T00:00:00,276-0046,230,,,,,608,0.15,
HGW0119000400,2016-10-02T00:00:00,276-0046,,,,,,,,
HGW3729565342,2016-10-02T00:00:00,206-0824,420,,,,,369,0.09,
HGW0527078356,2016-10-02T00:00:00,206-0824,80,,,,,198,0.06,
HGW3418795782,2016-10-02T00:00:00,276-0046,40,,,,,155,0.06,
HGW4086841355,2016-10-02T00:00:00,261-0013,260,,,,,372,0.09,
HGW2053016894,2016-10-02T00:00:00,261-0013,280,,,,,325,0.09,
HGW4262390424,2016-10-02T00:00:00,276-0046,780,,,,,,,
HGW2056923843,2016-10-02T00:00:00,276-0046,2880,,,2220,,,,
HGW1567490790,2016-10-02T00:00:00,276-0046,2890,,,2124,,,,
HGW2731818357,2016-10-02T00:00:00,276-0046,40,,,,,222,0.06,
HGW0999938138,2016-10-02T00:00:00,261-0013,320,,,,,324,0.09,
HGW1484386037,2016-10-02T00:00:00,261-0013,350,,,,,,,
HGW2626196856,2016-10-02T00:00:00,276-0046,420,,,,,376,0.1,
HGW2550549887,2016-10-02T00:00:00,261-0013,130,,,,,,,
HGW3813403007,2016-10-02T00:00:00,261-0013,380,,,,2,331,0.3,
HGW0341161038,2016-10-02T00:00:00,276-0046,990,,,,,,,
HGW3506558406,2016-10-02T00:00:00,276-0046,240,,,,,,,
HGW3088922230,2016-10-02T00:00:00,206-0824,2550,,,2132,,,,
HGW0807025331,2016-10-02T00:00:00,261-0013,150,,,,,82,0.07,
HGW3316354389,2016-10-02T00:00:00,276-0046,510,,,,,,,
HGW3835466207,2016-10-02T00:00:00,261-0013,280,,,,,,,
HGW3938264288,2016-10-02T00:00:00,261-0013,200,,,,,,,
HGW0960788623,2016-10-02T00:00:00,206-0824,300,,,,,,,
HGW2465318239,2016-10-02T00:00:00,206-0824,500,,,,,372,,
HGW4201723405,2016-10-02T00:00:00,206-0824,210,,,,,,,
HGW3424705551,2016-10-02T00:00:00,276-0046,130,,,,,,,
