hemsId,date,postal,main,solarGenerated,solarSold,batteryCharge,batteryDischarge,fuelCell,gasUsage,waterUsage
HGW1540053189,2016-07-31T00:00:00,276-0046,180,,,,,,,
HGW1849081661,2016-07-31T00:00:00,261-0013,190,,,,,,,
HGW2592410415,2016-07-31T00:00:00,276-0046,350,,,,,,,
HGW4192227781,2016-07-31T00:00:00,206-0824,600,,,,,,,
HGW2440335259,2016-07-31T00:00:00,206-0824,440,,,,,,,
HGW0022302486,2016-07-31T00:00:00,276-0046,220,,,,,,,
HGW0119000400,2016-07-31T00:00:00,276-0046,2130,,,1589,,371,0.1,
HGW3729565342,2016-07-31T00:00:00,206-0824,880,,,,,,0.07,
HGW0527078356,2016-07-31T00:00:00,206-0824,520,,,,,,,
HGW3418795782,2016-07-31T00:00:00,276-0046,330,,,,,,,
HGW4086841355,2016-07-31T00:00:00,261-0013,140,,,,,,,
HGW2053016894,2016-07-31T00:00:00,261-0013,210,,,,,321,0.09,
HGW4262390424,2016-07-31T00:00:00,276-0046,860,,,,,367,0.17,
HGW2056923843,2016-07-31T00:00:00,276-0046,2440,,,1531,,,,
HGW1567490790,2016-07-31T00:00:00,276-0046,180,,,,,,,
HGW2731818357,2016-07-31T00:00:00,276-0046,710,,,,,,0.12,
HGW0999938138,2016-07-31T00:00:00,261-0013,580,,,,,,,
HGW1484386037,2016-07-31T00:00:00,261-0013,560,,,,,,,
HGW2626196856,2016-07-31T00:00:00,276-0046,890,,,,,,,
HGW3813403007,2016-07-31T00:00:00,261-0013,250,,,,,369,0.09,
HGW0341161038,2016-07-31T00:00:00,276-0046,290,,,,,,,
HGW3506558406,2016-07-31T00:00:00,276-0046,500,,,,,,,
HGW3088922230,2016-07-31T00:00:00,206-0824,2740,,,2162,,,,
HGW0807025331,2016-07-31T00:00:00,261-0013,580,,,,,21,0.01,
HGW3316354389,2016-07-31T00:00:00,276-0046,630,,,,,,,
HGW3835466207,2016-07-31T00:00:00,261-0013,120,,,,,224,,
HGW3938264288,2016-07-31T00:00:00,261-0013,270,,,,,3,,
HGW0960788623,2016-07-31T00:00:00,206-0824,610,,,,,,,
HGW2465318239,2016-07-31T00:00:00,206-0824,210,,,,,370,,
HGW4201723405,2016-07-31T00:00:00,206-0824,2630,,,2053,,,,
HGW2984162470,2016-07-31T00:00:00,206-0824,409,,,118,167,,,
HGW2862754275,2016-07-31T00:00:00,573-0084,501,,,,,,,0.013
HGW2864422167,2016-07-31T00:00:00,274-0063,45,,,,,210,0.065,
HGW1145276568,2016-07-31T00:00:00,194-0032,235,,,,,,,
HGW1628028254,2016-07-31T00:00:00,245-0016,1660,,,402,,,,
HGW3819013474,2016-07-31T00:00:00,245-0016,755,,,,,,,0.06
HGW0109674464,2016-07-31T00:00:00,245-0016,2340,,,954,,,,
HGW4266179256,2016-07-31T00:00:00,595-0813,677,,,,456,,,0.004
HGW2675582057,2016-07-31T00:00:00,274-0063,2861,,,2127,,,,
HGW2507102389,2016-07-31T00:00:00,245-0016,414,,,,,,,
HGW0292545493,2016-07-31T00:00:00,194-0032,1024,,,,,,,
HGW1888757583,2016-07-31T00:00:00,194-0032,136,,,,,,,
HGW3087458710,2016-07-31T00:00:00,573-0084,370,,,,,,,
HGW1163585690,2016-07-31T00:00:00,573-0084,148,,,,,289,0.08,
HGW2360924179,2016-07-31T00:00:00,245-0016,900,,,,,,,0.003
HGW2979506575,2016-07-31T00:00:00,573-0084,2530,,,1105,,,,0.029
HGW3939678160,2016-07-31T00:00:00,573-0084,162,,1,,,423,0.125,0.008
HGW1901037140,2016-07-31T00:00:00,573-0084,2240,,,192,,,,0.049
HGW1255839825,2016-07-31T00:00:00,573-0084,272,,,,,,0.005,
HGW1922304917,2016-07-31T00:00:00,274-0063,311,,,,,,,
HGW0723606708,2016-07-31T00:00:00,194-0032,1871,,,389,,,,
HGW4233223550,2016-07-31T00:00:00,573-0084,344,,,,,,,0.016
HGW3975340233,2016-07-31T00:00:00,194-0032,2749,,,2009,,,,0.001
HGW1770315374,2016-07-31T00:00:00,245-0016,342,,,,,,,
HGW2211161695,2016-07-31T00:00:00,573-0084,239,,,,,,,
HGW3979453947,2016-07-31T00:00:00,274-0063,67,,,,,362,0.05,0.01
HGW3210466135,2016-07-31T00:00:00,573-0084,153,,,,,,,
HGW1150228943,2016-07-31T00:00:00,194-0032,465,,,,,,,
HGW3896978369,2016-07-31T00:00:00,245-0016,191,,,,93,,,
HGW0224584910,2016-07-31T00:00:00,573-0084,1175,,,,,,,0.006
HGW2352450618,2016-07-31T00:00:00,194-0032,799,,,,,,,
HGW1382864968,2016-07-31T00:00:00,194-0032,2554,,,1204,,,,
HGW3299398081,2016-07-31T00:00:00,595-0813,642,,,,,356,0.1,0.007
HGW3556093971,2016-07-31T00:00:00,595-0813,1718,,,183,,,,0.036
HGW1779326846,2016-07-31T00:00:00,595-0813,279,,,,,,,
HGW0980111669,2016-07-31T00:00:00,245-0016,55,,,,,196,0.035,
HGW0548855049,2016-07-31T00:00:00,245-0016,252,,,,,367,0.095,0.091
HGW2019559833,2016-07-31T00:00:00,194-0032,1338,,,10,,,,
HGW3905059517,2016-07-31T00:00:00,274-0063,2172,,,716,,,,
HGW3107087926,2016-07-31T00:00:00,595-0813,198,,,,,,,
HGW4090376889,2016-07-31T00:00:00,245-0016,79,,,,,314,0.085,
HGW2896326762,2016-07-31T00:00:00,274-0063,374,,,,,357,0.05,0.178
HGW3027793024,2016-07-31T00:00:00,245-0016,476,,,,,357,0.095,0.008
HGW1337358987,2016-07-31T00:00:00,274-0063,272,,,,,,,
HGW3766800683,2016-07-31T00:00:00,194-0032,106,,,,,334,0.085,
HGW2238224375,2016-07-31T00:00:00,573-0084,319,,,877,,259,0.075,0.006
HGW2500187106,2016-07-31T00:00:00,595-0813,659,,,,,,,0.013
