hemsId,date,postal,main,solarGenerated,solarSold,batteryCharge,batteryDischarge,fuelCell,gasUsage,waterUsage
HGW1540053189,2016-08-14T00:00:00,276-0046,160,,,,,,,
HGW1849081661,2016-08-14T00:00:00,261-0013,210,,,,,,,
HGW2592410415,2016-08-14T00:00:00,276-0046,260,,,,,,,
HGW4192227781,2016-08-14T00:00:00,206-0824,900,,,,,,,
HGW2440335259,2016-08-14T00:00:00,206-0824,650,,,,,,,
HGW0022302486,2016-08-14T00:00:00,276-0046,1630,,,1134,,,,
HGW0119000400,2016-08-14T00:00:00,276-0046,1570,,,455,,,,
HGW3729565342,2016-08-14T00:00:00,206-0824,640,,,,,,,
HGW0527078356,2016-08-14T00:00:00,206-0824,160,,,,,,,
HGW3418795782,2016-08-14T00:00:00,276-0046,290,,,,,,,
HGW4086841355,2016-08-14T00:00:00,261-0013,210,,,,,,,
HGW2053016894,2016-08-14T00:00:00,261-0013,240,,,,,,,
HGW4262390424,2016-08-14T00:00:00,276-0046,900,,,,,,,
HGW2056923843,2016-08-14T00:00:00,276-0046,210,,,,,,,
HGW1567490790,2016-08-14T00:00:00,276-0046,2420,,,1913,,,,
HGW2731818357,2016-08-14T00:00:00,276-0046,440,,,,,,,
HGW0999938138,2016-08-14T00:00:00,261-0013,660,,,,,,0.63,
HGW1484386037,2016-08-14T00:00:00,261-0013,200,,,,,,,
HGW2626196856,2016-08-14T00:00:00,276-0046,950,,,,,,0.01,
HGW3813403007,2016-08-14T00:00:00,261-0013,720,,,,163,,0.02,
HGW0341161038,2016-08-14T00:00:00,276-0046,630,,,,,,,
HGW3506558406,2016-08-14T00:00:00,276-0046,200,,,,,,,
HGW3088922230,2016-08-14T00:00:00,206-0824,250,,,,,,,
HGW0807025331,2016-08-14T00:00:00,261-0013,730,,,,,,0.01,
HGW3316354389,2016-08-14T00:00:00,276-0046,190,,,,,369,0.1,
HGW3835466207,2016-08-14T00:00:00,261-0013,410,,,,,,,
HGW3938264288,2016-08-14T00:00:00,261-0013,210,,,,,,,
HGW0960788623,2016-08-14T00:00:00,206-0824,340,,,,,,,
HGW2465318239,2016-08-14T00:00:00,206-0824,630,,,,,,,
HGW4201723405,2016-08-14T00:00:00,206-0824,1360,,,851,,,,
HGW2984162470,2016-08-14T00:00:00,206-0824,428,,,228,263,,,
HGW2862754275,2016-08-14T00:00:00,573-0084,1496,,,,,,,0.013
HGW2864422167,2016-08-14T00:00:00,274-0063,451,,,,,,,
HGW1145276568,2016-08-14T00:00:00,194-0032,194,,,,,,,
HGW1628028254,2016-08-14T00:00:00,245-0016,707,,,,,,,
HGW3819013474,2016-08-14T00:00:00,245-0016,812,,,,210,,,
HGW0109674464,2016-08-14T00:00:00,245-0016,235,,,,,,,
HGW4266179256,2016-08-14T00:00:00,595-0813,463,,,,,,,
HGW2675582057,2016-08-14T00:00:00,274-0063,437,,,,,,,
HGW2507102389,2016-08-14T00:00:00,245-0016,371,,,,,,,
HGW0292545493,2016-08-14T00:00:00,194-0032,2430,,,703,,,,0.009
HGW1888757583,2016-08-14T00:00:00,194-0032,136,,,,,,,
HGW3087458710,2016-08-14T00:00:00,573-0084,413,,,,,,,
HGW1163585690,2016-08-14T00:00:00,573-0084,211,,,,,,,
HGW2360924179,2016-08-14T00:00:00,245-0016,718,,,,,,,
HGW2979506575,2016-08-14T00:00:00,573-0084,571,,,,,,,0.065
HGW3939678160,2016-08-14T00:00:00,573-0084,324,,,,,353,0.1,0.007
HGW1901037140,2016-08-14T00:00:00,573-0084,211,,,,,,,
HGW1255839825,2016-08-14T00:00:00,573-0084,59,,,,,254,0.08,
HGW1922304917,2016-08-14T00:00:00,274-0063,463,,,,,,,0.01
HGW0723606708,2016-08-14T00:00:00,194-0032,1052,,,,,,,
HGW4233223550,2016-08-14T00:00:00,573-0084,550,,,,,,,0.009
HGW3975340233,2016-08-14T00:00:00,194-0032,294,,,,,,,
HGW1770315374,2016-08-14T00:00:00,245-0016,2855,,,1057,,,,0.009
HGW2211161695,2016-08-14T00:00:00,573-0084,371,,,,,,,
HGW3979453947,2016-08-14T00:00:00,274-0063,427,,,,,,0.005,0.128
HGW3210466135,2016-08-14T00:00:00,573-0084,1465,,,2,,,,0.008
HGW1150228943,2016-08-14T00:00:00,194-0032,900,,,,,,,
HGW3896978369,2016-08-14T00:00:00,245-0016,223,,,,,,,
HGW0224584910,2016-08-14T00:00:00,573-0084,1003,,,,,,,0.007
HGW2352450618,2016-08-14T00:00:00,194-0032,2792,,,1099,,,,
HGW1382864968,2016-08-14T00:00:00,194-0032,2797,,,1264,,,,
HGW3299398081,2016-08-14T00:00:00,595-0813,863,,,,,,,0.027
HGW3556093971,2016-08-14T00:00:00,595-0813,2208,,,799,,,,0.004
HGW1779326846,2016-08-14T00:00:00,595-0813,447,,,,,,,0.023
HGW0980111669,2016-08-14T00:00:00,245-0016,52,,,,,203,0.035,
HGW0548855049,2016-08-14T00:00:00,245-0016,338,,,,,,,0.015
HGW2019559833,2016-08-14T00:00:00,194-0032,2606,,,1453,,,,0.008
HGW3905059517,2016-08-14T00:00:00,274-0063,846,,,,,,,
HGW3107087926,2016-08-14T00:00:00,595-0813,181,,,,,,,
HGW4090376889,2016-08-14T00:00:00,245-0016,157,,,,,342,0.09,
HGW2896326762,2016-08-14T00:00:00,274-0063,353,,,,,,,
HGW3027793024,2016-08-14T00:00:00,245-0016,934,,,,,,,0.01
HGW1337358987,2016-08-14T00:00:00,274-0063,2192,,,658,,,,0.007
HGW3766800683,2016-08-14T00:00:00,194-0032,280,,,,,249,0.07,
HGW2238224375,2016-08-14T00:00:00,573-0084,76,,,855,,179,0.07,
HGW2500187106,2016-08-14T00:00:00,595-0813,652,,,,,,,
HGW2633657355,2016-08-14T00:00:00,573-0084,413,,,,17,289,0.09,0.047
HGW3036983001,2016-08-14T00:00:00,595-0813,866,,,,,,,
HGW0340690536,2016-08-14T00:00:00,595-0813,68,,,,,227,0.07,
HGW3521173424,2016-08-14T00:00:00,245-0016,696,,,,,,,0.004
HGW2405676507,2016-08-14T00:00:00,274-0063,43,,,,,165,0.07,
HGW1633016930,2016-08-14T00:00:00,573-0084,265,,,,,331,0.09,
HGW4048014188,2016-08-14T00:00:00,194-0032,233,,,,,,,
HGW4228193834,2016-08-14T00:00:00,245-0016,2456,,,934,,,,
HGW3199834989,2016-08-14T00:00:00,245-0016,500,,,,,,,0.022
HGW0852590661,2016-08-14T00:00:00,595-0813,581,,,,,,,
HGW3417223008,2016-08-14T00:00:00,194-0032,525,,,,,,,
HGW0008585550,2016-08-14T00:00:00,573-0084,463,,,,,,,0.004
HGW3412860148,2016-08-14T00:00:00,194-0032,782,,,,,,0.14,
HGW0297198766,2016-08-14T00:00:00,595-0813,265,,,,,,,
HGW1392167190,2016-08-14T00:00:00,573-0084,937,,,,,,0.005,0.006
HGW0359516503,2016-08-14T00:00:00,194-0032,226,,,,,,,
HGW2950693375,2016-08-14T00:00:00,573-0084,70,,,,1306,,,
HGW1540053189,2016-08-14T01:00:00,276-0046,160,,,,,,,
HGW1849081661,2016-08-14T01:00:00,261-0013,190,,,,,,,
HGW2592410415,2016-08-14T01:00:00,276-0046,490,,,,,,,
HGW4192227781,2016-08-14T01:00:00,206-0824,590,,,,,,,
HGW2440335259,2016-08-14T01:00:00,206-0824,410,,,,,,,
HGW0022302486,2016-08-14T01:00:00,276-0046,360,,,,,,,
HGW0119000400,2016-08-14T01:00:00,276-0046,510,,,,,,,
HGW3729565342,2016-08-14T01:00:00,206-0824,510,,,,,,,
HGW0527078356,2016-08-14T01:00:00,206-0824,180,,,,,,,
HGW3418795782,2016-08-14T01:00:00,276-0046,270,,,,,,,
HGW4086841355,2016-08-14T01:00:00,261-0013,180,,,,,,,
HGW2053016894,2016-08-14T01:00:00,261-0013,260,,,,,,,
HGW4262390424,2016-08-14T01:00:00,276-0046,820,,,,,,,
HGW2056923843,2016-08-14T01:00:00,276-0046,210,,,,,,,
HGW1567490790,2016-08-14T01:00:00,276-0046,420,,,,,,,
HGW2731818357,2016-08-14T01:00:00,276-0046,410,,,,,,,
