hemsId,date,postal,main,solarGenerated,solarSold,batteryCharge,batteryDischarge,fuelCell,gasUsage,waterUsage
HGW1540053189,2017-01-05T00:00:00,276-0046,190,,,,,,,
HGW1849081661,2017-01-05T00:00:00,261-0013,230,,,,,,,
HGW2592410415,2017-01-05T00:00:00,276-0046,50,,,,,279,0.38,
HGW4192227781,2017-01-05T00:00:00,206-0824,90,,,,,455,0.11,
HGW2440335259,2017-01-05T00:00:00,206-0824,400,,,,,462,0.53,
HGW0022302486,2017-01-05T00:00:00,276-0046,2530,,,1386,,689,0.35,
HGW0119000400,2017-01-05T00:00:00,276-0046,2250,,,2101,,378,0.09,
HGW3729565342,2017-01-05T00:00:00,206-0824,770,,,,,432,0.1,
HGW0527078356,2017-01-05T00:00:00,206-0824,2820,,,2104,,607,0.2,
HGW3418795782,2017-01-05T00:00:00,276-0046,40,,,,,187,0.09,
HGW4086841355,2017-01-05T00:00:00,261-0013,410,,,,,,,
HGW2053016894,2017-01-05T00:00:00,261-0013,350,,,,,,,
HGW2674981515,2017-01-05T00:00:00,276-0046,180,,,,,,,
HGW4262390424,2017-01-05T00:00:00,276-0046,1210,,,,,,1.27,
HGW2056923843,2017-01-05T00:00:00,276-0046,2700,,,2220,,,,
HGW1567490790,2017-01-05T00:00:00,276-0046,2420,,,2160,,,,
HGW2731818357,2017-01-05T00:00:00,276-0046,340,,,,,,0.1,
HGW0999938138,2017-01-05T00:00:00,261-0013,230,,,,,305,0.08,
HGW1484386037,2017-01-05T00:00:00,261-0013,50,,10,,,216,0.08,
HGW2626196856,2017-01-05T00:00:00,276-0046,210,,,,,441,0.12,
HGW2550549887,2017-01-05T00:00:00,261-0013,160,,,,,,,
HGW3813403007,2017-01-05T00:00:00,261-0013,800,,,,,546,0.14,
HGW0341161038,2017-01-05T00:00:00,276-0046,570,,,,,333,0.08,
HGW3506558406,2017-01-05T00:00:00,276-0046,180,,,,,207,0.15,
HGW3088922230,2017-01-05T00:00:00,206-0824,2500,,,2124,,,,
HGW0807025331,2017-01-05T00:00:00,261-0013,240,,,,,,,
HGW3176292276,2017-01-05T00:00:00,276-0046,150,,,,,,,
HGW3316354389,2017-01-05T00:00:00,276-0046,1080,,,,,668,0.17,
HGW3835466207,2017-01-05T00:00:00,261-0013,80,,,,,227,,
HGW3938264288,2017-01-05T00:00:00,261-0013,1280,,,956,,,,
HGW0960788623,2017-01-05T00:00:00,206-0824,1240,,,,,,,
HGW2465318239,2017-01-05T00:00:00,206-0824,110,,,,,545,,
HGW4201723405,2017-01-05T00:00:00,206-0824,2890,,,2118,,,,
HGW3464437875,2017-01-05T00:00:00,276-0046,50,,,,,237,,
HGW3424705551,2017-01-05T00:00:00,276-0046,2300,,,1996,,,,
HGW3475679756,2017-01-05T00:00:00,261-0013,50,,,,,363,0.41,
HGW0011113187,2017-01-05T00:00:00,261-0013,2470,,,2161,,,,
HGW1724705971,2017-01-05T00:00:00,206-0824,1260,,,,,,0.13,
HGW2942607227,2017-01-05T00:00:00,261-0013,220,,,,,,,
HGW0628187266,2017-01-05T00:00:00,206-0824,1930,,,1490,,,,
HGW2700713230,2017-01-05T00:00:00,206-0824,40,,,,,191,0.07,
HGW3261148883,2017-01-05T00:00:00,261-0013,1870,,,1497,,352,0.09,
HGW3657144636,2017-01-05T00:00:00,276-0046,680,,,320,,,,
HGW2862754275,2017-01-05T00:00:00,573-0084,2456,,,1175,,,,
HGW2864422167,2017-01-05T00:00:00,274-0063,60,,,,,210,0.065,
HGW1145276568,2017-01-05T00:00:00,194-0032,54,,,,,203,0.065,
HGW1628028254,2017-01-05T00:00:00,245-0016,667,,,,,,,0.011
HGW3819013474,2017-01-05T00:00:00,245-0016,68,,,,,233,0.06,
HGW0109674464,2017-01-05T00:00:00,245-0016,1585,,,,,,,
HGW4266179256,2017-01-05T00:00:00,595-0813,118,,,,,265,0.085,0.003
HGW2507102389,2017-01-05T00:00:00,245-0016,1334,,,,,,,
HGW0292545493,2017-01-05T00:00:00,194-0032,4784,,,2207,,,,0.017
HGW1888757583,2017-01-05T00:00:00,194-0032,133,,,,,,,
HGW3087458710,2017-01-05T00:00:00,573-0084,740,,,,,,,0.009
HGW1163585690,2017-01-05T00:00:00,573-0084,95,,,,,302,0.08,
HGW2360924179,2017-01-05T00:00:00,245-0016,679,,,,,,,0.007
HGW2979506575,2017-01-05T00:00:00,573-0084,3916,,,2131,,,,0.048
HGW3939678160,2017-01-05T00:00:00,573-0084,215,,,,,618,0.455,0.171
HGW1901037140,2017-01-05T00:00:00,573-0084,3709,,,1177,,,,0.056
HGW2794906293,2017-01-05T00:00:00,194-0032,4277,,,2221,,,,0.004
HGW1255839825,2017-01-05T00:00:00,573-0084,52,,,,,181,0.065,
HGW1922304917,2017-01-05T00:00:00,274-0063,2989,,,689,,,,0.007
HGW0723606708,2017-01-05T00:00:00,194-0032,2967,,,1299,,,,
HGW4233223550,2017-01-05T00:00:00,573-0084,56,,,,,194,0.065,
HGW3975340233,2017-01-05T00:00:00,194-0032,1764,,,393,,,,
HGW1770315374,2017-01-05T00:00:00,245-0016,2622,,,554,,,,0.031
HGW2211161695,2017-01-05T00:00:00,573-0084,192,,,,,,,
HGW3979453947,2017-01-05T00:00:00,274-0063,276,,,,,490,0.06,
HGW3210466135,2017-01-05T00:00:00,573-0084,3671,,,2169,,,,
HGW1150228943,2017-01-05T00:00:00,194-0032,44,,,,,285,0.075,
HGW3896978369,2017-01-05T00:00:00,245-0016,1662,,,,,,,
HGW0224584910,2017-01-05T00:00:00,573-0084,46,,,,,196,0.065,
HGW2352450618,2017-01-05T00:00:00,194-0032,3447,,,1056,,,,
HGW1382864968,2017-01-05T00:00:00,194-0032,1920,,,606,,,,0.008
HGW3299398081,2017-01-05T00:00:00,595-0813,340,,,873,,485,0.12,
HGW3556093971,2017-01-05T00:00:00,595-0813,2732,,,2220,,,,
