hemsId,date,postal,main,solarGenerated,solarSold,batteryCharge,batteryDischarge,fuelCell,gasUsage,waterUsage
HGW1540053189,2016-11-01T00:00:00,276-0046,180,,,,,,,
HGW1849081661,2016-11-01T00:00:00,261-0013,240,,,,,,,
HGW2592410415,2016-11-01T00:00:00,276-0046,160,,,,,238,0.39,
HGW4192227781,2016-11-01T00:00:00,206-0824,100,,,,,220,0.07,
HGW2440335259,2016-11-01T00:00:00,206-0824,100,,,,,304,0.09,
HGW0022302486,2016-11-01T00:00:00,276-0046,700,,,,,693,0.23,
HGW0119000400,2016-11-01T00:00:00,276-0046,1320,,,591,,,,
HGW3729565342,2016-11-01T00:00:00,206-0824,180,,,,,341,0.08,
HGW0527078356,2016-11-01T00:00:00,206-0824,200,,,,,,,
HGW3418795782,2016-11-01T00:00:00,276-0046,,,,,,,,
HGW4086841355,2016-11-01T00:00:00,261-0013,300,,,,,251,0.08,
HGW2053016894,2016-11-01T00:00:00,261-0013,50,,,,,314,0.09,
HGW4262390424,2016-11-01T00:00:00,276-0046,640,,,,,,0.11,
HGW2056923843,2016-11-01T00:00:00,276-0046,2220,,,1784,,,,
HGW1567490790,2016-11-01T00:00:00,276-0046,2490,,,2160,,,,
HGW2731818357,2016-11-01T00:00:00,276-0046,40,,,,,183,0.06,
HGW0999938138,2016-11-01T00:00:00,261-0013,390,,,,,,,
HGW1484386037,2016-11-01T00:00:00,261-0013,30,,,,,182,0.07,
HGW2626196856,2016-11-01T00:00:00,276-0046,250,,,,,351,0.1,
HGW2550549887,2016-11-01T00:00:00,261-0013,210,,,,,,,
HGW3813403007,2016-11-01T00:00:00,261-0013,110,,,3,,325,0.32,
HGW0341161038,2016-11-01T00:00:00,276-0046,1200,,,,,,0.26,
HGW3506558406,2016-11-01T00:00:00,276-0046,390,,,,,,,
HGW3088922230,2016-11-01T00:00:00,206-0824,2690,,,2160,,,,
HGW0807025331,2016-11-01T00:00:00,261-0013,40,,,,,189,0.09,
HGW3316354389,2016-11-01T00:00:00,276-0046,70,,,,,227,0.08,
HGW3835466207,2016-11-01T00:00:00,261-0013,150,,,,,246,,
HGW3938264288,2016-11-01T00:00:00,261-0013,920,,,694,,,,
HGW0960788623,2016-11-01T00:00:00,206-0824,360,,,,,,,
HGW2465318239,2016-11-01T00:00:00,206-0824,280,,,,,682,,
HGW4201723405,2016-11-01T00:00:00,206-0824,1930,,,1586,,,,
HGW3424705551,2016-11-01T00:00:00,276-0046,50,,,,,196,0.06,
HGW0011113187,2016-11-01T00:00:00,261-0013,2990,,,2160,,,,
HGW1724705971,2016-11-01T00:00:00,206-0824,40,,,,,171,0.06,
HGW2700713230,2016-11-01T00:00:00,206-0824,230,,,,,,,
HGW2862754275,2016-11-01T00:00:00,573-0084,1124,,,,,,,0.031
HGW2864422167,2016-11-01T00:00:00,274-0063,74,,,,,352,0.42,0.015
HGW1145276568,2016-11-01T00:00:00,194-0032,55,,,,,241,0.075,0.022
HGW1628028254,2016-11-01T00:00:00,245-0016,2275,,,1204,,,,
HGW3819013474,2016-11-01T00:00:00,245-0016,135,,,,214,406,0.1,0.005
HGW0109674464,2016-11-01T00:00:00,245-0016,735,,,,,,,
HGW4266179256,2016-11-01T00:00:00,595-0813,363,,,,,,,
HGW2507102389,2016-11-01T00:00:00,245-0016,237,,,,,,,
HGW0292545493,2016-11-01T00:00:00,194-0032,2079,,,908,,,,
HGW1888757583,2016-11-01T00:00:00,194-0032,133,,,,,,,
HGW3087458710,2016-11-01T00:00:00,573-0084,731,,,,,,,
