hemsId,date,postal,main,solarGenerated,solarSold,batteryCharge,batteryDischarge,fuelCell,gasUsage,waterUsage
HGW1540053189,2016-09-12T00:00:00,276-0046,170,,,,,,,
HGW1849081661,2016-09-12T00:00:00,261-0013,180,,,,,,,
HGW2592410415,2016-09-12T00:00:00,276-0046,520,,,,,,,
HGW4192227781,2016-09-12T00:00:00,206-0824,590,,,,,,,
HGW2440335259,2016-09-12T00:00:00,206-0824,170,,,,,314,0.08,
HGW0022302486,2016-09-12T00:00:00,276-0046,290,,,8,,,,
HGW0119000400,2016-09-12T00:00:00,276-0046,1940,,,1205,,,,
HGW3729565342,2016-09-12T00:00:00,206-0824,310,,,,,370,0.09,
HGW0527078356,2016-09-12T00:00:00,206-0824,370,,,,,,,
HGW3418795782,2016-09-12T00:00:00,276-0046,50,,,,,279,0.07,
HGW4086841355,2016-09-12T00:00:00,261-0013,100,,,,,228,0.07,
HGW2053016894,2016-09-12T00:00:00,261-0013,400,,,,,276,0.08,
HGW4262390424,2016-09-12T00:00:00,276-0046,790,,,,,268,0.07,
HGW2056923843,2016-09-12T00:00:00,276-0046,2870,,,2220,,,,
HGW1567490790,2016-09-12T00:00:00,276-0046,2490,,,2196,,,,
HGW2731818357,2016-09-12T00:00:00,276-0046,350,,,,,,0.07,
HGW0999938138,2016-09-12T00:00:00,261-0013,360,,,,,,,
HGW1484386037,2016-09-12T00:00:00,261-0013,330,,,,,373,0.09,
HGW2626196856,2016-09-12T00:00:00,276-0046,380,,,,,368,0.09,
HGW2550549887,2016-09-12T00:00:00,261-0013,120,,,,,,,
HGW3813403007,2016-09-12T00:00:00,261-0013,320,,,,,371,0.09,
HGW0341161038,2016-09-12T00:00:00,276-0046,210,,,,,233,0.07,
HGW3506558406,2016-09-12T00:00:00,276-0046,260,,,,,,,
HGW3088922230,2016-09-12T00:00:00,206-0824,2550,,,2006,,,,
HGW0807025331,2016-09-12T00:00:00,261-0013,360,,,,,,,
HGW3316354389,2016-09-12T00:00:00,276-0046,590,,,,,,,
HGW3835466207,2016-09-12T00:00:00,261-0013,290,,,,,,,
HGW3938264288,2016-09-12T00:00:00,261-0013,210,,,,,,,
HGW0960788623,2016-09-12T00:00:00,206-0824,740,,,,,,,
HGW2465318239,2016-09-12T00:00:00,206-0824,150,,,,,337,,
HGW4201723405,2016-09-12T00:00:00,206-0824,2430,,,2017,,,,
HGW0011113187,2016-09-12T00:00:00,261-0013,360,,,,,,,
HGW1724705971,2016-09-12T00:00:00,206-0824,150,,,,,,,
HGW2984162470,2016-09-12T00:00:00,206-0824,418,,,133,175,,,
HGW2862754275,2016-09-12T00:00:00,573-0084,1315,,,,,,,0.021
HGW2864422167,2016-09-12T00:00:00,274-0063,332,,,,,,0.08,0.006
HGW1145276568,2016-09-12T00:00:00,194-0032,255,,,,,,,0.014
HGW1628028254,2016-09-12T00:00:00,245-0016,178,,,,,,,0.008
HGW3819013474,2016-09-12T00:00:00,245-0016,528,,,,,,,0.001
HGW0109674464,2016-09-12T00:00:00,245-0016,1156,,,,,,,
HGW4266179256,2016-09-12T00:00:00,595-0813,441,,,,,,,
HGW2507102389,2016-09-12T00:00:00,245-0016,263,,,,,,,0.003
HGW0292545493,2016-09-12T00:00:00,194-0032,1752,,,528,,,,
HGW1888757583,2016-09-12T00:00:00,194-0032,137,,,,,,,
HGW3087458710,2016-09-12T00:00:00,573-0084,408,,,,,,,
HGW1163585690,2016-09-12T00:00:00,573-0084,289,,,,,,,
HGW2360924179,2016-09-12T00:00:00,245-0016,588,,,,,,,
HGW2979506575,2016-09-12T00:00:00,573-0084,411,,,,,,,
HGW3939678160,2016-09-12T00:00:00,573-0084,547,,,,,,,0.015
