hemsId,date,postal,main,solarGenerated,solarSold,batteryCharge,batteryDischarge,fuelCell,gasUsage,waterUsage
HGW1540053189,2017-01-19T00:00:00,276-0046,220,,,,,,,
HGW1849081661,2017-01-19T00:00:00,261-0013,230,,,,,,,
HGW2592410415,2017-01-19T00:00:00,276-0046,50,,,,,186,0.07,
HGW4192227781,2017-01-19T00:00:00,206-0824,220,,,,,343,0.09,
HGW2440335259,2017-01-19T00:00:00,206-0824,50,,,,,198,0.06,
HGW0022302486,2017-01-19T00:00:00,276-0046,4110,,,2163,,,0.1,
HGW0119000400,2017-01-19T00:00:00,276-0046,2380,,,2113,,497,0.12,
HGW3729565342,2017-01-19T00:00:00,206-0824,490,,,,,,,
HGW0527078356,2017-01-19T00:00:00,206-0824,1980,,,2114,,607,0.14,
HGW3418795782,2017-01-19T00:00:00,276-0046,40,,,,,217,0.09,
HGW4086841355,2017-01-19T00:00:00,261-0013,210,,,,,415,0.1,
HGW2053016894,2017-01-19T00:00:00,261-0013,50,,,,,322,0.08,
HGW2674981515,2017-01-19T00:00:00,276-0046,40,,,,,208,0.08,
HGW4262390424,2017-01-19T00:00:00,276-0046,40,,,,,171,0.07,
HGW2056923843,2017-01-19T00:00:00,276-0046,3100,,,2220,,,,
HGW1567490790,2017-01-19T00:00:00,276-0046,2980,,,2153,,,,
HGW2731818357,2017-01-19T00:00:00,276-0046,40,,,,,279,0.31,
HGW0999938138,2017-01-19T00:00:00,261-0013,930,,,,,502,0.13,
HGW1484386037,2017-01-19T00:00:00,261-0013,40,,,,,181,0.1,
HGW2626196856,2017-01-19T00:00:00,276-0046,670,,,,,,0.19,
HGW2550549887,2017-01-19T00:00:00,261-0013,160,,,,,106,0.06,
HGW3813403007,2017-01-19T00:00:00,261-0013,1060,,,,,559,0.38,
HGW0341161038,2017-01-19T00:00:00,276-0046,1030,,,,,,,
HGW3506558406,2017-01-19T00:00:00,276-0046,150,,,,,79,0.06,
HGW3088922230,2017-01-19T00:00:00,206-0824,2480,,,2124,,,,
HGW0807025331,2017-01-19T00:00:00,261-0013,70,,,,,247,0.08,
HGW3176292276,2017-01-19T00:00:00,276-0046,200,,,,,,,
HGW3316354389,2017-01-19T00:00:00,276-0046,580,,,,,686,0.19,
HGW0549372333,2017-01-19T00:00:00,276-0046,,,,,,,,
HGW3835466207,2017-01-19T00:00:00,261-0013,100,,,,,280,,
HGW3938264288,2017-01-19T00:00:00,261-0013,360,,,,,243,,
HGW0960788623,2017-01-19T00:00:00,206-0824,60,,,,,269,,
HGW2465318239,2017-01-19T00:00:00,206-0824,110,,,,,539,,
HGW4201723405,2017-01-19T00:00:00,206-0824,3010,,,1997,,,,
HGW3464437875,2017-01-19T00:00:00,276-0046,60,,,,,236,,
HGW3424705551,2017-01-19T00:00:00,276-0046,2600,,,2160,,,0.14,
HGW3475679756,2017-01-19T00:00:00,261-0013,390,,,,,,0.37,
HGW0011113187,2017-01-19T00:00:00,261-0013,610,,,,,,,
HGW1724705971,2017-01-19T00:00:00,206-0824,730,,,,,,,
HGW2942607227,2017-01-19T00:00:00,261-0013,1150,,,,,594,,
HGW0628187266,2017-01-19T00:00:00,206-0824,1900,,,1493,,,,
HGW2700713230,2017-01-19T00:00:00,206-0824,40,,,,,186,0.07,
HGW3261148883,2017-01-19T00:00:00,261-0013,1750,,,1497,,502,0.13,
HGW3657144636,2017-01-19T00:00:00,276-0046,220,,,,,700,0.17,
HGW2862754275,2017-01-19T00:00:00,573-0084,2910,,,2168,,,,0.019
HGW2864422167,2017-01-19T00:00:00,274-0063,66,,,,,388,0.415,
HGW1145276568,2017-01-19T00:00:00,194-0032,57,,,,,203,0.065,
HGW1628028254,2017-01-19T00:00:00,245-0016,2757,,,1194,,,,0.082
HGW3819013474,2017-01-19T00:00:00,245-0016,443,,,,21,,0.24,
HGW0109674464,2017-01-19T00:00:00,245-0016,3131,,,1236,,,,0.009
HGW4266179256,2017-01-19T00:00:00,595-0813,111,,,,,243,0.07,
HGW2507102389,2017-01-19T00:00:00,245-0016,2566,,,1458,,,,
HGW0292545493,2017-01-19T00:00:00,194-0032,3317,,,2220,,,,
HGW1888757583,2017-01-19T00:00:00,194-0032,165,,,,,,,
HGW3087458710,2017-01-19T00:00:00,573-0084,902,,,,,,,
HGW1163585690,2017-01-19T00:00:00,573-0084,103,,,,,304,0.08,
HGW2360924179,2017-01-19T00:00:00,245-0016,452,,,,,574,0.145,
HGW2979506575,2017-01-19T00:00:00,573-0084,2848,,,2160,,,,0.016
HGW3939678160,2017-01-19T00:00:00,573-0084,85,,,,,185,0.065,
HGW1901037140,2017-01-19T00:00:00,573-0084,3924,,,1240,,,,0.023
HGW2794906293,2017-01-19T00:00:00,194-0032,4292,,,2169,,,,
HGW1255839825,2017-01-19T00:00:00,573-0084,54,,,,,188,0.06,
HGW1922304917,2017-01-19T00:00:00,274-0063,3735,,,1547,,,,0.008
HGW0723606708,2017-01-19T00:00:00,194-0032,3701,,,1205,,,,
HGW4233223550,2017-01-19T00:00:00,573-0084,230,,,,,,,
HGW3975340233,2017-01-19T00:00:00,194-0032,3344,,,893,,,,
HGW1770315374,2017-01-19T00:00:00,245-0016,3163,,,1175,,,,0.03
HGW2211161695,2017-01-19T00:00:00,573-0084,195,,,,,,,
HGW3979453947,2017-01-19T00:00:00,274-0063,230,,,,,446,0.06,
HGW3210466135,2017-01-19T00:00:00,573-0084,3544,,,2172,,,,
HGW1150228943,2017-01-19T00:00:00,194-0032,47,,,,,345,0.095,0.015
HGW3896978369,2017-01-19T00:00:00,245-0016,1828,,,,,,,
HGW0224584910,2017-01-19T00:00:00,573-0084,111,,,,,296,0.085,
HGW2352450618,2017-01-19T00:00:00,194-0032,2630,,,1188,,,,
HGW1382864968,2017-01-19T00:00:00,194-0032,1805,,,1094,,686,0.085,
HGW3299398081,2017-01-19T00:00:00,595-0813,671,,,889,,366,0.09,0.016
HGW3556093971,2017-01-19T00:00:00,595-0813,2686,,,2220,,,,
HGW1779326846,2017-01-19T00:00:00,595-0813,89,,,,,308,0.17,0.017
HGW0980111669,2017-01-19T00:00:00,245-0016,2796,,,1222,,670,0.075,0.003
