hemsId,date,postal,main,solarGenerated,solarSold,batteryCharge,batteryDischarge,fuelCell,gasUsage,waterUsage
HGW1540053189,2016-09-14T00:00:00,276-0046,200,,,,,,,
HGW1849081661,2016-09-14T00:00:00,261-0013,180,,,,,,,
HGW2592410415,2016-09-14T00:00:00,276-0046,330,,,,,,,
HGW4192227781,2016-09-14T00:00:00,206-0824,310,,,,,,,
HGW2440335259,2016-09-14T00:00:00,206-0824,90,,,,,327,0.09,
HGW0022302486,2016-09-14T00:00:00,276-0046,1740,,,1032,,,,
HGW0119000400,2016-09-14T00:00:00,276-0046,1460,,,758,,,,
HGW3729565342,2016-09-14T00:00:00,206-0824,380,,,,,365,0.42,
HGW0527078356,2016-09-14T00:00:00,206-0824,350,,,,,,,
HGW3418795782,2016-09-14T00:00:00,276-0046,210,,,,,,,
HGW4086841355,2016-09-14T00:00:00,261-0013,70,,,,,187,0.06,
HGW2053016894,2016-09-14T00:00:00,261-0013,580,,,,,,,
HGW4262390424,2016-09-14T00:00:00,276-0046,160,,,,,275,0.08,
HGW2056923843,2016-09-14T00:00:00,276-0046,2900,,,2183,,,,
HGW1567490790,2016-09-14T00:00:00,276-0046,2210,,,1376,,,,
HGW2731818357,2016-09-14T00:00:00,276-0046,470,,,,,,,
HGW0999938138,2016-09-14T00:00:00,261-0013,290,,,,,,,
HGW1484386037,2016-09-14T00:00:00,261-0013,680,,,,,,,
HGW2626196856,2016-09-14T00:00:00,276-0046,730,,,,,,,
HGW2550549887,2016-09-14T00:00:00,261-0013,130,,,,,,,
HGW3813403007,2016-09-14T00:00:00,261-0013,160,,,,,494,0.13,
HGW0341161038,2016-09-14T00:00:00,276-0046,650,,,,,,,
HGW3506558406,2016-09-14T00:00:00,276-0046,250,,,,,,,
HGW3088922230,2016-09-14T00:00:00,206-0824,2570,,,2164,,,,
HGW0807025331,2016-09-14T00:00:00,261-0013,350,,,,,,,
HGW3316354389,2016-09-14T00:00:00,276-0046,630,,,,,,,
HGW3835466207,2016-09-14T00:00:00,261-0013,280,,,,,,,
HGW3938264288,2016-09-14T00:00:00,261-0013,250,,,35,,,,
HGW0960788623,2016-09-14T00:00:00,206-0824,820,,,,,,,
HGW2465318239,2016-09-14T00:00:00,206-0824,100,,,,,220,,
HGW4201723405,2016-09-14T00:00:00,206-0824,1170,,,911,,,,
HGW0011113187,2016-09-14T00:00:00,261-0013,2430,,,2046,,,,
HGW1724705971,2016-09-14T00:00:00,206-0824,150,,,,,,,
HGW2984162470,2016-09-14T00:00:00,206-0824,425,,,134,168,,,
HGW2862754275,2016-09-14T00:00:00,573-0084,1377,,,101,,,,0.024
HGW2864422167,2016-09-14T00:00:00,274-0063,677,,,,,,0.28,
