hemsId,date,postal,main,solarGenerated,solarSold,batteryCharge,batteryDischarge,fuelCell,gasUsage,waterUsage
HGW1540053189,2016-11-07T00:00:00,276-0046,180,,,,,,,
HGW1849081661,2016-11-07T00:00:00,261-0013,180,,,,,,,
HGW2592410415,2016-11-07T00:00:00,276-0046,60,,,,,288,0.4,
HGW4192227781,2016-11-07T00:00:00,206-0824,70,,,,,299,0.08,
HGW2440335259,2016-11-07T00:00:00,206-0824,50,,,,,195,0.06,
HGW0022302486,2016-11-07T00:00:00,276-0046,1360,,,178,,,0.04,
HGW0119000400,2016-11-07T00:00:00,276-0046,960,,,671,,334,0.1,
HGW3729565342,2016-11-07T00:00:00,206-0824,110,,,,,386,0.09,
HGW0527078356,2016-11-07T00:00:00,206-0824,40,,,,,269,0.08,
HGW3418795782,2016-11-07T00:00:00,276-0046,210,,,,,,,
HGW4086841355,2016-11-07T00:00:00,261-0013,260,,,,,359,0.09,
HGW2053016894,2016-11-07T00:00:00,261-0013,360,,,,,317,0.32,
HGW4262390424,2016-11-07T00:00:00,276-0046,1100,,,,,,0.09,
HGW2056923843,2016-11-07T00:00:00,276-0046,2550,,,2221,,,,
HGW1567490790,2016-11-07T00:00:00,276-0046,2580,,,2160,,,,
HGW2731818357,2016-11-07T00:00:00,276-0046,40,,,,,223,0.07,
HGW0999938138,2016-11-07T00:00:00,261-0013,70,,,,,212,0.07,
HGW1484386037,2016-11-07T00:00:00,261-0013,50,,,,,210,0.08,
HGW2626196856,2016-11-07T00:00:00,276-0046,100,,,,,285,0.08,
HGW2550549887,2016-11-07T00:00:00,261-0013,200,,,,,,,
HGW3813403007,2016-11-07T00:00:00,261-0013,520,,,,,241,0.07,
HGW0341161038,2016-11-07T00:00:00,276-0046,790,,,,,,,
HGW3506558406,2016-11-07T00:00:00,276-0046,210,,,,,,,
HGW3088922230,2016-11-07T00:00:00,206-0824,2470,,,2160,,,,
HGW0807025331,2016-11-07T00:00:00,261-0013,690,,,,,,,
HGW3316354389,2016-11-07T00:00:00,276-0046,100,,,,,323,0.09,
HGW3835466207,2016-11-07T00:00:00,261-0013,110,,,,,246,,
HGW3938264288,2016-11-07T00:00:00,261-0013,200,,,,,,,
HGW0960788623,2016-11-07T00:00:00,206-0824,130,,,,,369,,
HGW2465318239,2016-11-07T00:00:00,206-0824,50,,,,,213,,
HGW4201723405,2016-11-07T00:00:00,206-0824,1920,,,1411,,,,
HGW3424705551,2016-11-07T00:00:00,276-0046,410,,,,,,0.34,
HGW0011113187,2016-11-07T00:00:00,261-0013,2780,,,2161,,,,
HGW1724705971,2016-11-07T00:00:00,206-0824,230,,,,,,0.01,
HGW2700713230,2016-11-07T00:00:00,206-0824,250,,,,,,,
HGW2862754275,2016-11-07T00:00:00,573-0084,2210,,,1040,,,,
HGW2864422167,2016-11-07T00:00:00,274-0063,81,,,,,328,0.095,0.008
HGW1145276568,2016-11-07T00:00:00,194-0032,52,,,,,159,0.065,
HGW1628028254,2016-11-07T00:00:00,245-0016,570,,,,,,,
HGW3819013474,2016-11-07T00:00:00,245-0016,76,,,,,263,0.065,
HGW0109674464,2016-11-07T00:00:00,245-0016,1046,,,,,,,
HGW4266179256,2016-11-07T00:00:00,595-0813,329,,,,,,,
HGW2507102389,2016-11-07T00:00:00,245-0016,1561,,,248,,,,
HGW0292545493,2016-11-07T00:00:00,194-0032,205,,,,,,,
HGW1888757583,2016-11-07T00:00:00,194-0032,133,,,,,,,
HGW3087458710,2016-11-07T00:00:00,573-0084,1163,,,,,,,
HGW1163585690,2016-11-07T00:00:00,573-0084,118,,,,,274,0.075,
HGW2360924179,2016-11-07T00:00:00,245-0016,65,,,,,333,0.09,
HGW2979506575,2016-11-07T00:00:00,573-0084,1929,,,763,,,,
HGW3939678160,2016-11-07T00:00:00,573-0084,149,,,,,306,0.09,0.015
HGW1901037140,2016-11-07T00:00:00,573-0084,3148,,,1122,,,,0.041
HGW2794906293,2016-11-07T00:00:00,194-0032,2558,,,2184,,,,
HGW1255839825,2016-11-07T00:00:00,573-0084,179,,,,,364,0.095,
HGW1922304917,2016-11-07T00:00:00,274-0063,231,,,,,,,
HGW0723606708,2016-11-07T00:00:00,194-0032,3056,,,1130,,,,
HGW4233223550,2016-11-07T00:00:00,573-0084,49,,,,,165,0.065,
HGW3975340233,2016-11-07T00:00:00,194-0032,2751,,,1892,,,,0.023
HGW1770315374,2016-11-07T00:00:00,245-0016,2520,,,1138,,,,0.007
HGW2211161695,2016-11-07T00:00:00,573-0084,178,,,,,,,
HGW3979453947,2016-11-07T00:00:00,274-0063,49,,,,,194,0.03,0.002
HGW3210466135,2016-11-07T00:00:00,573-0084,1154,,,35,,,,
HGW1150228943,2016-11-07T00:00:00,194-0032,44,,,,,309,0.08,0.008
HGW3896978369,2016-11-07T00:00:00,245-0016,1131,,,,,,,
HGW0224584910,2016-11-07T00:00:00,573-0084,342,,,,,,,0.014
HGW2352450618,2016-11-07T00:00:00,194-0032,2386,,,1198,,,,
HGW1382864968,2016-11-07T00:00:00,194-0032,63,,,,,324,0.04,
HGW3299398081,2016-11-07T00:00:00,595-0813,156,,,,,362,0.09,
HGW3556093971,2016-11-07T00:00:00,595-0813,2486,,,2119,,,,
HGW1779326846,2016-11-07T00:00:00,595-0813,271,,,,,,,0.017
HGW0980111669,2016-11-07T00:00:00,245-0016,636,,,,,460,0.065,0.016
HGW0548855049,2016-11-07T00:00:00,245-0016,219,,,,,,,
HGW2019559833,2016-11-07T00:00:00,194-0032,1042,,,15,,,,
HGW3905059517,2016-11-07T00:00:00,274-0063,2528,,,1127,,,,0.007
HGW3107087926,2016-11-07T00:00:00,595-0813,46,,,,,194,0.08,0.01
HGW4090376889,2016-11-07T00:00:00,245-0016,72,,,,,338,0.085,
HGW2896326762,2016-11-07T00:00:00,274-0063,54,,,,,217,0.03,
HGW3027793024,2016-11-07T00:00:00,245-0016,63,,,,,210,0.065,
HGW1337358987,2016-11-07T00:00:00,274-0063,417,,,,,,,0.005
HGW3766800683,2016-11-07T00:00:00,194-0032,286,,,,,383,0.095,0.009
HGW2238224375,2016-11-07T00:00:00,573-0084,321,,,882,,273,0.095,
HGW2500187106,2016-11-07T00:00:00,595-0813,95,,,,,419,0.26,0.104
HGW2633657355,2016-11-07T00:00:00,573-0084,300,,,,122,656,0.635,0.214
HGW3036983001,2016-11-07T00:00:00,595-0813,239,,,,,,,
HGW0340690536,2016-11-07T00:00:00,595-0813,64,,,,,218,0.065,0.005
HGW3521173424,2016-11-07T00:00:00,245-0016,108,,,,,368,0.16,
HGW2405676507,2016-11-07T00:00:00,274-0063,226,,,,,,,
HGW1633016930,2016-11-07T00:00:00,573-0084,228,,,,,,,
HGW4048014188,2016-11-07T00:00:00,194-0032,610,,,,,685,0.23,0.004
HGW4228193834,2016-11-07T00:00:00,245-0016,399,,,,,,,
HGW3199834989,2016-11-07T00:00:00,245-0016,60,,,,,185,0.06,0.004
HGW0852590661,2016-11-07T00:00:00,595-0813,56,,,,,177,0.065,
HGW3417223008,2016-11-07T00:00:00,194-0032,456,,,,,,,0.001
HGW0008585550,2016-11-07T00:00:00,573-0084,74,,,,,222,0.075,0.036
HGW3412860148,2016-11-07T00:00:00,194-0032,285,,,,,,0.07,
HGW0297198766,2016-11-07T00:00:00,595-0813,429,,,,,482,0.15,
HGW1392167190,2016-11-07T00:00:00,573-0084,58,,,,,295,0.075,
HGW0359516503,2016-11-07T00:00:00,194-0032,228,,,,,,,
HGW2950693375,2016-11-07T00:00:00,573-0084,1012,,,,,,,
HGW1540053189,2016-11-07T01:00:00,276-0046,170,,,,,,,
HGW1849081661,2016-11-07T01:00:00,261-0013,170,,,,,,,
HGW2592410415,2016-11-07T01:00:00,276-0046,50,,,,,270,0.37,
HGW4192227781,2016-11-07T01:00:00,206-0824,50,,,,,248,0.07,
HGW2440335259,2016-11-07T01:00:00,206-0824,60,,,,,218,0.07,
HGW0022302486,2016-11-07T01:00:00,276-0046,1040,,,,,,,
HGW0119000400,2016-11-07T01:00:00,276-0046,400,,,,,316,0.11,
HGW3729565342,2016-11-07T01:00:00,206-0824,90,,,,,263,0.06,
HGW0527078356,2016-11-07T01:00:00,206-0824,50,,,,,194,0.06,
HGW3418795782,2016-11-07T01:00:00,276-0046,190,,,,,,,
HGW4086841355,2016-11-07T01:00:00,261-0013,230,,,,,296,0.09,
HGW2053016894,2016-11-07T01:00:00,261-0013,120,,,,,469,0.17,
HGW4262390424,2016-11-07T01:00:00,276-0046,1270,,,,,,,
HGW2056923843,2016-11-07T01:00:00,276-0046,400,,,164,,,,
HGW1567490790,2016-11-07T01:00:00,276-0046,990,,,641,,,,
HGW2731818357,2016-11-07T01:00:00,276-0046,40,,,,,169,0.07,
HGW0999938138,2016-11-07T01:00:00,261-0013,80,,,,,214,0.06,
HGW1484386037,2016-11-07T01:00:00,261-0013,40,,,,,190,0.06,
HGW2626196856,2016-11-07T01:00:00,276-0046,90,,,,,299,0.09,
HGW2550549887,2016-11-07T01:00:00,261-0013,190,,,,,,,
HGW3813403007,2016-11-07T01:00:00,261-0013,220,,,,,271,0.08,
HGW0341161038,2016-11-07T01:00:00,276-0046,750,,,,,,,
HGW3506558406,2016-11-07T01:00:00,276-0046,190,,,,,,,
HGW3088922230,2016-11-07T01:00:00,206-0824,2320,,,1416,,,,
HGW0807025331,2016-11-07T01:00:00,261-0013,640,,,,,,,
HGW3316354389,2016-11-07T01:00:00,276-0046,60,,,,,220,0.06,
HGW3835466207,2016-11-07T01:00:00,261-0013,240,,,,,371,,
HGW3938264288,2016-11-07T01:00:00,261-0013,270,,,,,,,
HGW0960788623,2016-11-07T01:00:00,206-0824,130,,,,,283,,
HGW2465318239,2016-11-07T01:00:00,206-0824,60,,,,,260,,
HGW4201723405,2016-11-07T01:00:00,206-0824,190,,,,,,,
HGW3424705551,2016-11-07T01:00:00,276-0046,270,,,,,,0.08,
HGW0011113187,2016-11-07T01:00:00,261-0013,580,,,31,,,,
HGW1724705971,2016-11-07T01:00:00,206-0824,230,,,,,,,
HGW2700713230,2016-11-07T01:00:00,206-0824,220,,,,,,,
HGW2862754275,2016-11-07T01:00:00,573-0084,296,,,,,,,
HGW2864422167,2016-11-07T01:00:00,274-0063,50,,,,,205,0.065,0.007
HGW1145276568,2016-11-07T01:00:00,194-0032,50,,,,,164,0.065,
HGW1628028254,2016-11-07T01:00:00,245-0016,430,,,,,,,
HGW3819013474,2016-11-07T01:00:00,245-0016,73,,,,,249,0.07,
HGW0109674464,2016-11-07T01:00:00,245-0016,222,,,,,,,
HGW4266179256,2016-11-07T01:00:00,595-0813,368,,,,,,,
