hemsId,date,postal,main,solarGenerated,solarSold,batteryCharge,batteryDischarge,fuelCell,gasUsage,waterUsage
HGW1540053189,2016-06-10T00:00:00,276-0046,150,,,,,,,
HGW1849081661,2016-06-10T00:00:00,261-0013,180,,,,,,,
HGW2592410415,2016-06-10T00:00:00,276-0046,400,,,,,,0.04,
HGW4192227781,2016-06-10T00:00:00,206-0824,340,,,,,,,
HGW2440335259,2016-06-10T00:00:00,206-0824,50,,,,,230,0.07,
HGW0022302486,2016-06-10T00:00:00,276-0046,880,,,,,,,
HGW0119000400,2016-06-10T00:00:00,276-0046,680,,,372,,501,0.15,
HGW0527078356,2016-06-10T00:00:00,206-0824,240,,,,,,,
HGW3418795782,2016-06-10T00:00:00,276-0046,40,,,,,160,0.07,
HGW4086841355,2016-06-10T00:00:00,261-0013,240,,,,,226,0.07,
HGW2053016894,2016-06-10T00:00:00,261-0013,130,,,,,254,0.07,
HGW4262390424,2016-06-10T00:00:00,276-0046,110,,,,,,,
HGW2056923843,2016-06-10T00:00:00,276-0046,460,,,,,,,
HGW1567490790,2016-06-10T00:00:00,276-0046,160,,,,,,,
HGW2731818357,2016-06-10T00:00:00,276-0046,240,,,,,,,
HGW0999938138,2016-06-10T00:00:00,261-0013,880,,,,,,0.02,
HGW1484386037,2016-06-10T00:00:00,261-0013,40,,,,,160,0.07,
HGW2626196856,2016-06-10T00:00:00,276-0046,730,,,,,,,
HGW3813403007,2016-06-10T00:00:00,261-0013,110,,,,,,,
HGW0341161038,2016-06-10T00:00:00,276-0046,650,,,,,,,
HGW3506558406,2016-06-10T00:00:00,276-0046,190,,,,,80,0.07,
HGW3088922230,2016-06-10T00:00:00,206-0824,2500,,,2142,,,,
HGW0807025331,2016-06-10T00:00:00,261-0013,120,,,,,,,
HGW3316354389,2016-06-10T00:00:00,276-0046,100,,,,,317,0.09,
HGW3835466207,2016-06-10T00:00:00,261-0013,370,,,,,331,,
HGW3938264288,2016-06-10T00:00:00,261-0013,120,,,,,,,
HGW0960788623,2016-06-10T00:00:00,206-0824,100,,,,,329,,
HGW2465318239,2016-06-10T00:00:00,206-0824,480,,,,,,,
HGW4201723405,2016-06-10T00:00:00,206-0824,210,,,,,,,
HGW2984162470,2016-06-10T00:00:00,206-0824,621,,,133,8,,,
HGW2862754275,2016-06-10T00:00:00,573-0084,371,,,,,,,0.014
HGW2864422167,2016-06-10T00:00:00,274-0063,266,,,,,,,0.008
HGW1145276568,2016-06-10T00:00:00,194-0032,48,,,,,199,0.07,
HGW1628028254,2016-06-10T00:00:00,245-0016,487,,,,,,,0.007
HGW3819013474,2016-06-10T00:00:00,245-0016,144,,,,,297,0.075,
HGW0109674464,2016-06-10T00:00:00,245-0016,523,,,,,,,0.012
HGW4266179256,2016-06-10T00:00:00,595-0813,316,,,,,,,
HGW2675582057,2016-06-10T00:00:00,274-0063,2713,,,1557,,,,
HGW2507102389,2016-06-10T00:00:00,245-0016,234,,,,,,,
HGW0292545493,2016-06-10T00:00:00,194-0032,2110,,,974,,,,
HGW1888757583,2016-06-10T00:00:00,194-0032,137,,,,,,,
HGW3087458710,2016-06-10T00:00:00,573-0084,311,,,,,,,
HGW2360924179,2016-06-10T00:00:00,245-0016,287,,,,,297,0.08,
HGW2979506575,2016-06-10T00:00:00,573-0084,315,,,,,,,0.046
HGW3939678160,2016-06-10T00:00:00,573-0084,76,,,,,235,0.075,
HGW1901037140,2016-06-10T00:00:00,573-0084,2914,,,1036,,,,0.028
HGW2794906293,2016-06-10T00:00:00,194-0032,2390,,,87,,,,
HGW1255839825,2016-06-10T00:00:00,573-0084,51,,,,,206,0.08,
HGW1922304917,2016-06-10T00:00:00,274-0063,242,,,,,,,
HGW0723606708,2016-06-10T00:00:00,194-0032,376,,,,,,,
HGW4233223550,2016-06-10T00:00:00,573-0084,62,,,,,194,0.08,
HGW3975340233,2016-06-10T00:00:00,194-0032,344,,,,,,,
HGW1770315374,2016-06-10T00:00:00,245-0016,2868,,,1026,,,,0.007
HGW2211161695,2016-06-10T00:00:00,573-0084,203,,,,,,,
HGW3979453947,2016-06-10T00:00:00,274-0063,82,,,,,237,0.03,
HGW3210466135,2016-06-10T00:00:00,573-0084,1873,,,584,,,,
HGW1150228943,2016-06-10T00:00:00,194-0032,41,,,,,316,0.09,
HGW3896978369,2016-06-10T00:00:00,245-0016,203,,,,16,,,
HGW0224584910,2016-06-10T00:00:00,573-0084,84,,,,,230,0.07,0.006
HGW2352450618,2016-06-10T00:00:00,194-0032,1788,,,233,,,,0.131
HGW1382864968,2016-06-10T00:00:00,194-0032,640,,,,,,,0.002
HGW3299398081,2016-06-10T00:00:00,595-0813,332,,,,,359,0.095,
HGW3556093971,2016-06-10T00:00:00,595-0813,1241,,,65,,,,
HGW1779326846,2016-06-10T00:00:00,595-0813,42,,,,,240,0.075,0.008
HGW0980111669,2016-06-10T00:00:00,245-0016,259,,,,,295,0.05,
HGW0548855049,2016-06-10T00:00:00,245-0016,256,,,,,,,
HGW2019559833,2016-06-10T00:00:00,194-0032,794,,,,,,,
HGW0056767924,2016-06-10T00:00:00,245-0016,1929,,,,,,,0.039
HGW3905059517,2016-06-10T00:00:00,274-0063,958,,,,,,,0.007
HGW3107087926,2016-06-10T00:00:00,595-0813,46,,,,,205,0.065,0.014
HGW4090376889,2016-06-10T00:00:00,245-0016,49,,,,,211,0.065,
HGW2896326762,2016-06-10T00:00:00,274-0063,74,,,,,250,0.035,
HGW3027793024,2016-06-10T00:00:00,245-0016,165,,,,,515,0.205,0.143
HGW1337358987,2016-06-10T00:00:00,274-0063,249,,,,,,,
HGW3766800683,2016-06-10T00:00:00,194-0032,82,,,,,485,0.13,0.032
HGW2238224375,2016-06-10T00:00:00,573-0084,502,,,865,,327,0.09,0.011
HGW2500187106,2016-06-10T00:00:00,595-0813,90,,,,,349,0.095,
HGW2633657355,2016-06-10T00:00:00,573-0084,81,,,,87,352,0.24,0.268
HGW3036983001,2016-06-10T00:00:00,595-0813,359,,,,,,,0.004
HGW0340690536,2016-06-10T00:00:00,595-0813,70,,,,,225,0.07,
HGW3521173424,2016-06-10T00:00:00,245-0016,71,,,,,240,0.085,0.007
HGW2405676507,2016-06-10T00:00:00,274-0063,44,,,,,187,0.07,
HGW1633016930,2016-06-10T00:00:00,573-0084,525,,,,,,0.01,0.01
HGW4048014188,2016-06-10T00:00:00,194-0032,317,,,,,,,0.004
HGW4228193834,2016-06-10T00:00:00,245-0016,835,,,,,,,
HGW3199834989,2016-06-10T00:00:00,245-0016,95,,,,,248,0.085,0.008
HGW0852590661,2016-06-10T00:00:00,595-0813,177,,,,,388,0.11,0.001
HGW3417223008,2016-06-10T00:00:00,194-0032,55,,,,,333,0.085,
HGW0008585550,2016-06-10T00:00:00,573-0084,61,,,,,229,0.065,0.03
HGW3412860148,2016-06-10T00:00:00,194-0032,292,,,,,,0.06,
HGW0297198766,2016-06-10T00:00:00,595-0813,60,,,,,247,0.075,0.001
HGW1392167190,2016-06-10T00:00:00,573-0084,279,,,,,318,0.11,
HGW0359516503,2016-06-10T00:00:00,194-0032,340,,,,,,,
HGW2950693375,2016-06-10T00:00:00,573-0084,1316,,,777,826,,,
HGW1540053189,2016-06-10T01:00:00,276-0046,150,,,,,,,
HGW1849081661,2016-06-10T01:00:00,261-0013,180,,,,,,,
HGW2592410415,2016-06-10T01:00:00,276-0046,290,,,,,,,
HGW4192227781,2016-06-10T01:00:00,206-0824,310,,,,,,,
HGW2440335259,2016-06-10T01:00:00,206-0824,50,,,,,203,0.08,
HGW0022302486,2016-06-10T01:00:00,276-0046,780,,,,,,,
HGW0119000400,2016-06-10T01:00:00,276-0046,60,,,,,379,0.09,
HGW0527078356,2016-06-10T01:00:00,206-0824,200,,,,,,,
HGW3418795782,2016-06-10T01:00:00,276-0046,50,,,,,147,0.07,
HGW4086841355,2016-06-10T01:00:00,261-0013,210,,,,,193,0.07,
HGW2053016894,2016-06-10T01:00:00,261-0013,170,,,,,247,0.08,
HGW4262390424,2016-06-10T01:00:00,276-0046,120,,,,,,,
HGW2056923843,2016-06-10T01:00:00,276-0046,230,,,,,,,
HGW1567490790,2016-06-10T01:00:00,276-0046,210,,,,,,,
HGW2731818357,2016-06-10T01:00:00,276-0046,230,,,,,,,
HGW0999938138,2016-06-10T01:00:00,261-0013,430,,,,,,,
HGW1484386037,2016-06-10T01:00:00,261-0013,40,,,,,151,0.06,
HGW2626196856,2016-06-10T01:00:00,276-0046,350,,,,,,,
HGW3813403007,2016-06-10T01:00:00,261-0013,110,,,,,,,
HGW0341161038,2016-06-10T01:00:00,276-0046,250,,,,,,,
HGW3506558406,2016-06-10T01:00:00,276-0046,170,,,,,56,0.06,
HGW3088922230,2016-06-10T01:00:00,206-0824,1060,,,837,,,,
HGW0807025331,2016-06-10T01:00:00,261-0013,130,,,,,,,
HGW3316354389,2016-06-10T01:00:00,276-0046,80,,,,,248,0.08,
HGW3835466207,2016-06-10T01:00:00,261-0013,130,,,,,290,,
HGW3938264288,2016-06-10T01:00:00,261-0013,120,,,,,,,
HGW0960788623,2016-06-10T01:00:00,206-0824,70,,,,,255,,
HGW2465318239,2016-06-10T01:00:00,206-0824,260,,,,,,,
HGW4201723405,2016-06-10T01:00:00,206-0824,190,,,,,,,
HGW2984162470,2016-06-10T01:00:00,206-0824,625,,,122,8,,,
HGW2862754275,2016-06-10T01:00:00,573-0084,352,,,,,,,0.009
HGW2864422167,2016-06-10T01:00:00,274-0063,260,,,,,,,
HGW1145276568,2016-06-10T01:00:00,194-0032,47,,,,,177,0.065,
HGW1628028254,2016-06-10T01:00:00,245-0016,179,,,,,,,0.007
HGW3819013474,2016-06-10T01:00:00,245-0016,168,,,,,298,0.08,
HGW0109674464,2016-06-10T01:00:00,245-0016,597,,,,,,,0.007
HGW4266179256,2016-06-10T01:00:00,595-0813,357,,,,,,,
HGW2675582057,2016-06-10T01:00:00,274-0063,784,,,,,,,
HGW2507102389,2016-06-10T01:00:00,245-0016,449,,,,,,,0.003
HGW0292545493,2016-06-10T01:00:00,194-0032,209,,,,,,,
HGW1888757583,2016-06-10T01:00:00,194-0032,134,,,,,,,
HGW3087458710,2016-06-10T01:00:00,573-0084,210,,,,,,,
HGW2360924179,2016-06-10T01:00:00,245-0016,268,,,,,296,0.085,0.007
HGW2979506575,2016-06-10T01:00:00,573-0084,187,,,,,,,
HGW3939678160,2016-06-10T01:00:00,573-0084,48,,,,,220,0.065,0.008
HGW1901037140,2016-06-10T01:00:00,573-0084,723,,,,,,,0.002
HGW2794906293,2016-06-10T01:00:00,194-0032,1283,,,,,,,
HGW1255839825,2016-06-10T01:00:00,573-0084,47,,,,,168,0.075,
HGW1922304917,2016-06-10T01:00:00,274-0063,242,,,,,,,
HGW0723606708,2016-06-10T01:00:00,194-0032,365,,,,,,,0.063
HGW4233223550,2016-06-10T01:00:00,573-0084,43,,,,,185,0.08,
HGW3975340233,2016-06-10T01:00:00,194-0032,560,,,,,,,0.01
HGW1770315374,2016-06-10T01:00:00,245-0016,453,,,,,,,0.007
HGW2211161695,2016-06-10T01:00:00,573-0084,207,,,,,,,
HGW3979453947,2016-06-10T01:00:00,274-0063,50,,,,,207,0.035,
HGW3210466135,2016-06-10T01:00:00,573-0084,218,,,,,,,0.011
HGW1150228943,2016-06-10T01:00:00,194-0032,42,,,,,293,0.08,
HGW3896978369,2016-06-10T01:00:00,245-0016,164,,,,31,,,
HGW0224584910,2016-06-10T01:00:00,573-0084,41,,,,,142,0.065,
HGW2352450618,2016-06-10T01:00:00,194-0032,373,,,,,,,0.02
HGW1382864968,2016-06-10T01:00:00,194-0032,746,,,,,,,0.007
HGW3299398081,2016-06-10T01:00:00,595-0813,346,,,893,,360,0.095,
HGW3556093971,2016-06-10T01:00:00,595-0813,306,,,,,,,
HGW1779326846,2016-06-10T01:00:00,595-0813,43,,,,,173,0.07,0.008
HGW0980111669,2016-06-10T01:00:00,245-0016,58,,,,,211,0.04,
HGW0548855049,2016-06-10T01:00:00,245-0016,258,,,,,,,
HGW2019559833,2016-06-10T01:00:00,194-0032,300,,,,,,,
HGW0056767924,2016-06-10T01:00:00,245-0016,1208,,,,,,,0.024
HGW3905059517,2016-06-10T01:00:00,274-0063,406,,,,,,,
HGW3107087926,2016-06-10T01:00:00,595-0813,43,,,,,173,0.07,
HGW4090376889,2016-06-10T01:00:00,245-0016,46,,,,,213,0.065,
HGW2896326762,2016-06-10T01:00:00,274-0063,57,,,,,232,0.035,
HGW3027793024,2016-06-10T01:00:00,245-0016,216,,,,,396,0.11,0.023
HGW1337358987,2016-06-10T01:00:00,274-0063,275,,,,,,,
HGW3766800683,2016-06-10T01:00:00,194-0032,63,,,,,317,0.095,
HGW2238224375,2016-06-10T01:00:00,573-0084,1900,,,1350,,646,0.18,
HGW2500187106,2016-06-10T01:00:00,595-0813,97,,,,,338,0.095,
HGW2633657355,2016-06-10T01:00:00,573-0084,106,,,,,305,0.085,0.005
HGW3036983001,2016-06-10T01:00:00,595-0813,262,,,,,,,
HGW0340690536,2016-06-10T01:00:00,595-0813,71,,,,,247,0.075,
HGW3521173424,2016-06-10T01:00:00,245-0016,88,,,,,216,0.07,
HGW2405676507,2016-06-10T01:00:00,274-0063,81,,,,,141,0.065,
HGW1633016930,2016-06-10T01:00:00,573-0084,311,,,,,,,
HGW4048014188,2016-06-10T01:00:00,194-0032,481,,,,,,0.255,0.125
HGW4228193834,2016-06-10T01:00:00,245-0016,763,,,,,,,
HGW3199834989,2016-06-10T01:00:00,245-0016,78,,,,,185,0.065,0.004
HGW0852590661,2016-06-10T01:00:00,595-0813,66,,,,,323,0.09,
HGW3417223008,2016-06-10T01:00:00,194-0032,346,,,,,414,0.115,0.011
HGW0008585550,2016-06-10T01:00:00,573-0084,58,,,477,,192,0.07,
HGW3412860148,2016-06-10T01:00:00,194-0032,245,,,,,,,
HGW0297198766,2016-06-10T01:00:00,595-0813,63,,,855,,215,0.07,
