hemsId,date,postal,main,solarGenerated,solarSold,batteryCharge,batteryDischarge,fuelCell,gasUsage,waterUsage
HGW1540053189,2016-07-22T00:00:00,276-0046,170,,,,,,,
HGW1849081661,2016-07-22T00:00:00,261-0013,220,,,,,,,
HGW2592410415,2016-07-22T00:00:00,276-0046,640,,,,,468,0.12,
HGW4192227781,2016-07-22T00:00:00,206-0824,100,,,,,238,0.06,
HGW2440335259,2016-07-22T00:00:00,206-0824,290,,,,,271,0.07,
HGW0022302486,2016-07-22T00:00:00,276-0046,730,,,,,,,
HGW0119000400,2016-07-22T00:00:00,276-0046,1950,,,993,,,,
HGW3729565342,2016-07-22T00:00:00,206-0824,160,,,,,,,
HGW0527078356,2016-07-22T00:00:00,206-0824,290,,,,,,,
HGW3418795782,2016-07-22T00:00:00,276-0046,100,,,,,193,0.07,
HGW4086841355,2016-07-22T00:00:00,261-0013,260,,,,,244,0.07,
HGW2053016894,2016-07-22T00:00:00,261-0013,360,,,,,,,
HGW4262390424,2016-07-22T00:00:00,276-0046,390,,,,,345,0.09,
HGW2056923843,2016-07-22T00:00:00,276-0046,2750,,,1848,,,,
HGW1567490790,2016-07-22T00:00:00,276-0046,370,,,,,,,
HGW2731818357,2016-07-22T00:00:00,276-0046,140,,,,,246,0.07,
HGW0999938138,2016-07-22T00:00:00,261-0013,960,,,,,,0.01,
HGW1484386037,2016-07-22T00:00:00,261-0013,370,,,,,,,
HGW2626196856,2016-07-22T00:00:00,276-0046,740,,,,,,0.01,
HGW3813403007,2016-07-22T00:00:00,261-0013,710,,,,575,,0.11,
HGW0341161038,2016-07-22T00:00:00,276-0046,180,,,,,,,
HGW3506558406,2016-07-22T00:00:00,276-0046,770,,,,,,,
HGW3088922230,2016-07-22T00:00:00,206-0824,2720,,,2171,,,,
HGW0807025331,2016-07-22T00:00:00,261-0013,340,,,,,,,
HGW3316354389,2016-07-22T00:00:00,276-0046,570,,,,,,0.02,
HGW3835466207,2016-07-22T00:00:00,261-0013,650,,,,,,,
HGW3938264288,2016-07-22T00:00:00,261-0013,760,,,463,,,,
HGW0960788623,2016-07-22T00:00:00,206-0824,470,,,,,,,
HGW2465318239,2016-07-22T00:00:00,206-0824,320,,,,,,,
HGW4201723405,2016-07-22T00:00:00,206-0824,2620,,,2038,,,,
HGW2984162470,2016-07-22T00:00:00,206-0824,417,,,118,158,,,
HGW2862754275,2016-07-22T00:00:00,573-0084,1819,,,512,,,,0.013
HGW2864422167,2016-07-22T00:00:00,274-0063,405,,,,,,0.135,
HGW1145276568,2016-07-22T00:00:00,194-0032,89,,,,,289,0.085,0.059
HGW1628028254,2016-07-22T00:00:00,245-0016,395,,,,,,,
HGW3819013474,2016-07-22T00:00:00,245-0016,801,,,,,,,0.006
HGW0109674464,2016-07-22T00:00:00,245-0016,1043,,,,,,,0.009
HGW4266179256,2016-07-22T00:00:00,595-0813,616,,,,,,,0.016
HGW2675582057,2016-07-22T00:00:00,274-0063,2908,,,2160,,,,0.008
HGW2507102389,2016-07-22T00:00:00,245-0016,380,,,,,,,
HGW0292545493,2016-07-22T00:00:00,194-0032,951,,,,,,,
HGW1888757583,2016-07-22T00:00:00,194-0032,135,,,,,,,
HGW3087458710,2016-07-22T00:00:00,573-0084,413,,,,,,,
HGW2360924179,2016-07-22T00:00:00,245-0016,757,,,,,,,
HGW2979506575,2016-07-22T00:00:00,573-0084,435,,,,,,,0.013
HGW3939678160,2016-07-22T00:00:00,573-0084,271,,,,,236,0.07,
HGW1901037140,2016-07-22T00:00:00,573-0084,193,,,,,,,
HGW1255839825,2016-07-22T00:00:00,573-0084,47,,,,,227,0.075,
HGW1922304917,2016-07-22T00:00:00,274-0063,795,,,,,,,
HGW0723606708,2016-07-22T00:00:00,194-0032,1932,,,443,,,,
HGW4233223550,2016-07-22T00:00:00,573-0084,273,,,,,,,
HGW3975340233,2016-07-22T00:00:00,194-0032,2890,,,1765,,,,0.001
HGW1770315374,2016-07-22T00:00:00,245-0016,2775,,,1103,,,,0.017
HGW2211161695,2016-07-22T00:00:00,573-0084,243,,,,,,,
HGW3979453947,2016-07-22T00:00:00,274-0063,119,,,,,247,0.035,
HGW3210466135,2016-07-22T00:00:00,573-0084,1064,,,10,,,,
HGW1150228943,2016-07-22T00:00:00,194-0032,41,,,,,307,0.085,
HGW3896978369,2016-07-22T00:00:00,245-0016,263,,,,,,,
HGW0224584910,2016-07-22T00:00:00,573-0084,590,,,,,,,0.007
HGW2352450618,2016-07-22T00:00:00,194-0032,2348,,,614,,,,0.351
