hemsId,date,postal,main,solarGenerated,solarSold,batteryCharge,batteryDischarge,fuelCell,gasUsage,waterUsage
HGW1540053189,2016-10-03T00:00:00,276-0046,170,,,,,,,
HGW1849081661,2016-10-03T00:00:00,261-0013,180,,,,,,,
HGW2592410415,2016-10-03T00:00:00,276-0046,120,,,,,221,0.07,
HGW4192227781,2016-10-03T00:00:00,206-0824,390,,,,,,,
HGW2440335259,2016-10-03T00:00:00,206-0824,550,,,,,,,
HGW0022302486,2016-10-03T00:00:00,276-0046,1410,,,1605,,565,0.16,
HGW0119000400,2016-10-03T00:00:00,276-0046,2030,,,1320,,,,
HGW3729565342,2016-10-03T00:00:00,206-0824,420,,,,,,,
HGW0527078356,2016-10-03T00:00:00,206-0824,190,,,,,,,
HGW3418795782,2016-10-03T00:00:00,276-0046,250,,,,,,,
HGW4086841355,2016-10-03T00:00:00,261-0013,490,,,,,,,
HGW2053016894,2016-10-03T00:00:00,261-0013,490,,,,,,,
HGW4262390424,2016-10-03T00:00:00,276-0046,320,,,,,,,
HGW2056923843,2016-10-03T00:00:00,276-0046,2310,,,1809,,,,
HGW1567490790,2016-10-03T00:00:00,276-0046,2850,,,1714,,,,
HGW2731818357,2016-10-03T00:00:00,276-0046,530,,,,,,,
HGW0999938138,2016-10-03T00:00:00,261-0013,470,,,,,,,
HGW1484386037,2016-10-03T00:00:00,261-0013,70,,,,,207,0.06,
HGW2626196856,2016-10-03T00:00:00,276-0046,940,,,,,,,
HGW2550549887,2016-10-03T00:00:00,261-0013,130,,,,,,,
HGW3813403007,2016-10-03T00:00:00,261-0013,150,,,39,,420,0.22,
HGW0341161038,2016-10-03T00:00:00,276-0046,330,,,,,,,
HGW3506558406,2016-10-03T00:00:00,276-0046,540,,,,,,,
HGW3088922230,2016-10-03T00:00:00,206-0824,2550,,,2161,,,,
HGW0807025331,2016-10-03T00:00:00,261-0013,220,,,,,,,
HGW3316354389,2016-10-03T00:00:00,276-0046,140,,,,,428,0.1,
HGW3835466207,2016-10-03T00:00:00,261-0013,300,,,,,,,
HGW3938264288,2016-10-03T00:00:00,261-0013,200,,,,,,,
HGW0960788623,2016-10-03T00:00:00,206-0824,220,,,,,240,,
