hemsId,date,postal,main,solarGenerated,solarSold,batteryCharge,batteryDischarge,fuelCell,gasUsage,waterUsage
HGW1540053189,2016-04-01T00:00:00,276-0046,190,,,,,,,
HGW1849081661,2016-04-01T00:00:00,261-0013,180,,,,,,,
HGW2592410415,2016-04-01T00:00:00,276-0046,140,,,,,,,
HGW4192227781,2016-04-01T00:00:00,206-0824,40,,,,,190,0.06,
HGW2440335259,2016-04-01T00:00:00,206-0824,330,,,,,,,
HGW0022302486,2016-04-01T00:00:00,276-0046,790,,,,,,0.13,
HGW0119000400,2016-04-01T00:00:00,276-0046,400,,,,,,0.02,
HGW0527078356,2016-04-01T00:00:00,206-0824,50,,,,,225,0.07,
HGW3418795782,2016-04-01T00:00:00,276-0046,50,,,,,166,0.06,
HGW4086841355,2016-04-01T00:00:00,261-0013,90,,,,,425,0.11,
HGW2053016894,2016-04-01T00:00:00,261-0013,50,,,,,234,0.07,
HGW2056923843,2016-04-01T00:00:00,276-0046,1970,,,1413,,,,
HGW1567490790,2016-04-01T00:00:00,276-0046,1620,,,624,,,,
HGW0999938138,2016-04-01T00:00:00,261-0013,50,,,,,220,0.06,
HGW1484386037,2016-04-01T00:00:00,261-0013,130,,,,,,,
HGW2626196856,2016-04-01T00:00:00,276-0046,180,,,,,384,0.1,
HGW0341161038,2016-04-01T00:00:00,276-0046,80,,,,,331,0.1,
HGW3506558406,2016-04-01T00:00:00,276-0046,1840,,,1496,,,,
HGW3088922230,2016-04-01T00:00:00,206-0824,2300,,,2059,,,,
HGW3316354389,2016-04-01T00:00:00,276-0046,570,,,,,,0.18,
HGW3835466207,2016-04-01T00:00:00,261-0013,90,,,,,190,,
HGW0960788623,2016-04-01T00:00:00,206-0824,80,,,,,,,
HGW2465318239,2016-04-01T00:00:00,206-0824,150,,,,,,,
HGW4201723405,2016-04-01T00:00:00,206-0824,130,,,,,,,
HGW2984162470,2016-04-01T00:00:00,206-0824,530,,,99,,,,
HGW2862754275,2016-04-01T00:00:00,573-0084,1240,,,3,,,,0.012
HGW2864422167,2016-04-01T00:00:00,274-0063,96,,,,20,338,0.135,0.053
HGW1145276568,2016-04-01T00:00:00,194-0032,49,,,,,245,0.18,0.002
HGW1628028254,2016-04-01T00:00:00,245-0016,1240,,,92,,,,
HGW3819013474,2016-04-01T00:00:00,245-0016,303,,,,,,0.005,0.008
HGW0109674464,2016-04-01T00:00:00,245-0016,259,,,,,,,
HGW4266179256,2016-04-01T00:00:00,595-0813,85,,,,,242,0.075,0.008
HGW2675582057,2016-04-01T00:00:00,274-0063,3109,,,2160,,,,
HGW2507102389,2016-04-01T00:00:00,245-0016,240,,,,,,,
HGW0292545493,2016-04-01T00:00:00,194-0032,985,,,,,,,
HGW1888757583,2016-04-01T00:00:00,194-0032,140,,,,,,,
HGW3087458710,2016-04-01T00:00:00,573-0084,363,,,,,352,0.085,
HGW1163585690,2016-04-01T00:00:00,573-0084,96,,,,,254,0.07,
HGW2360924179,2016-04-01T00:00:00,245-0016,79,,,,,452,0.125,
HGW2979506575,2016-04-01T00:00:00,573-0084,1500,,,,,,,0.016
HGW3939678160,2016-04-01T00:00:00,573-0084,73,,,,,380,0.1,0.016
HGW1901037140,2016-04-01T00:00:00,573-0084,2863,,,1116,,,,0.018
HGW2794906293,2016-04-01T00:00:00,194-0032,338,,,,,,,
HGW1255839825,2016-04-01T00:00:00,573-0084,250,,,,,,,
HGW1922304917,2016-04-01T00:00:00,274-0063,911,,,,,,,0.007
HGW0723606708,2016-04-01T00:00:00,194-0032,328,,,,,,,
HGW4233223550,2016-04-01T00:00:00,573-0084,56,,,,,320,0.09,0.001
HGW3975340233,2016-04-01T00:00:00,194-0032,1534,,,205,,,,0.036
HGW1770315374,2016-04-01T00:00:00,245-0016,3008,,,1118,,,,0.034
HGW2211161695,2016-04-01T00:00:00,573-0084,923,,,,,,,0.001
HGW3979453947,2016-04-01T00:00:00,274-0063,88,,,,,229,0.04,
HGW3210466135,2016-04-01T00:00:00,573-0084,654,,,,,,,0.001
HGW1150228943,2016-04-01T00:00:00,194-0032,42,,,,,321,0.09,0.007
HGW3896978369,2016-04-01T00:00:00,245-0016,1923,,,809,,,,
HGW0224584910,2016-04-01T00:00:00,573-0084,52,,,,,216,0.07,0.007
HGW2352450618,2016-04-01T00:00:00,194-0032,2784,,,1044,,,,0.008
HGW1382864968,2016-04-01T00:00:00,194-0032,385,,,,,,,
HGW3299398081,2016-04-01T00:00:00,595-0813,49,,,,,259,0.08,0.015
HGW3556093971,2016-04-01T00:00:00,595-0813,1524,,,307,,,,
HGW1779326846,2016-04-01T00:00:00,595-0813,77,,,,,200,0.075,0.024
HGW0980111669,2016-04-01T00:00:00,245-0016,3886,,,1403,,,0.005,0.039
HGW0548855049,2016-04-01T00:00:00,245-0016,178,,,,,334,0.325,0.103
HGW2019559833,2016-04-01T00:00:00,194-0032,3798,,,2161,,,,
HGW0056767924,2016-04-01T00:00:00,245-0016,3317,,,1766,,,,0.08
HGW3905059517,2016-04-01T00:00:00,274-0063,242,,,,,,,0.005
HGW3107087926,2016-04-01T00:00:00,595-0813,97,,,,,278,0.08,0.005
HGW4090376889,2016-04-01T00:00:00,245-0016,73,,,,,606,0.435,0.021
HGW2896326762,2016-04-01T00:00:00,274-0063,72,,,,,239,0.035,0.005
HGW3027793024,2016-04-01T00:00:00,245-0016,58,,,,,196,0.155,
HGW1337358987,2016-04-01T00:00:00,274-0063,49,,,,,177,0.065,
HGW3766800683,2016-04-01T00:00:00,194-0032,66,,,,,301,0.085,
HGW2238224375,2016-04-01T00:00:00,573-0084,435,,,898,,292,0.09,0.011
HGW2500187106,2016-04-01T00:00:00,595-0813,189,,,,,270,0.085,
HGW2633657355,2016-04-01T00:00:00,573-0084,471,,,,198,485,0.38,0.24
HGW3036983001,2016-04-01T00:00:00,595-0813,102,,,,,398,0.12,0.07
HGW0340690536,2016-04-01T00:00:00,595-0813,74,,,,,231,0.07,0.005
HGW3521173424,2016-04-01T00:00:00,245-0016,85,,,,,242,0.07,
HGW2405676507,2016-04-01T00:00:00,274-0063,72,,,,,189,0.04,0.019
HGW1633016930,2016-04-01T00:00:00,573-0084,49,,,,,202,0.075,0.001
HGW4048014188,2016-04-01T00:00:00,194-0032,303,,,,,338,0.17,0.006
HGW4228193834,2016-04-01T00:00:00,245-0016,212,,,,,,,
HGW3199834989,2016-04-01T00:00:00,245-0016,56,,,,,226,0.085,0.01
HGW0852590661,2016-04-01T00:00:00,595-0813,52,,,,,158,0.07,
HGW3417223008,2016-04-01T00:00:00,194-0032,54,,,,,322,0.085,
HGW0008585550,2016-04-01T00:00:00,573-0084,305,,,,,,,0.017
HGW3412860148,2016-04-01T00:00:00,194-0032,86,,,105,,397,0.35,
HGW0297198766,2016-04-01T00:00:00,595-0813,165,,,,,333,0.165,0.058
HGW1392167190,2016-04-01T00:00:00,573-0084,425,,,,,421,0.12,0.003
HGW0359516503,2016-04-01T00:00:00,194-0032,49,,,,,177,0.065,
HGW2950693375,2016-04-01T00:00:00,573-0084,920,,,634,818,,,
HGW1540053189,2016-04-01T01:00:00,276-0046,180,,,,,,,
HGW1849081661,2016-04-01T01:00:00,261-0013,170,,,,,,,
HGW2592410415,2016-04-01T01:00:00,276-0046,140,,,,,,,
HGW4192227781,2016-04-01T01:00:00,206-0824,40,,,,,178,0.07,
HGW2440335259,2016-04-01T01:00:00,206-0824,290,,,,,,,
HGW0022302486,2016-04-01T01:00:00,276-0046,260,,,,,,,
HGW0119000400,2016-04-01T01:00:00,276-0046,530,,,,,,0.06,
HGW0527078356,2016-04-01T01:00:00,206-0824,30,,,,,142,0.06,
HGW3418795782,2016-04-01T01:00:00,276-0046,50,,,,,147,0.08,
HGW4086841355,2016-04-01T01:00:00,261-0013,60,,,,,447,0.11,
HGW2053016894,2016-04-01T01:00:00,261-0013,300,,,,,288,0.1,
HGW2056923843,2016-04-01T01:00:00,276-0046,1800,,,,,,,
HGW1567490790,2016-04-01T01:00:00,276-0046,180,,,,,,,
HGW0999938138,2016-04-01T01:00:00,261-0013,60,,,,,247,0.07,
HGW1484386037,2016-04-01T01:00:00,261-0013,130,,,,,,,
HGW2626196856,2016-04-01T01:00:00,276-0046,100,,,,,268,0.07,
HGW0341161038,2016-04-01T01:00:00,276-0046,40,,,,,174,0.06,
HGW3506558406,2016-04-01T01:00:00,276-0046,1310,,,999,,,,
HGW3088922230,2016-04-01T01:00:00,206-0824,240,,,,,,,
HGW3316354389,2016-04-01T01:00:00,276-0046,310,,,,,,,
HGW3835466207,2016-04-01T01:00:00,261-0013,90,,,,,218,,
HGW0960788623,2016-04-01T01:00:00,206-0824,70,,,,,,,
HGW2465318239,2016-04-01T01:00:00,206-0824,140,,,,,,,
HGW4201723405,2016-04-01T01:00:00,206-0824,130,,,,,,,
HGW2984162470,2016-04-01T01:00:00,206-0824,605,,,187,,,,
HGW2862754275,2016-04-01T01:00:00,573-0084,1235,,,,,,,0.012
HGW2864422167,2016-04-01T01:00:00,274-0063,74,,,,,285,0.165,0.058
HGW1145276568,2016-04-01T01:00:00,194-0032,52,,,,,197,0.065,
HGW1628028254,2016-04-01T01:00:00,245-0016,475,,,,,,,
HGW3819013474,2016-04-01T01:00:00,245-0016,282,,,,,,,
HGW0109674464,2016-04-01T01:00:00,245-0016,608,,,,,,,
HGW4266179256,2016-04-01T01:00:00,595-0813,79,,,,,273,0.085,
HGW2675582057,2016-04-01T01:00:00,274-0063,2553,,,305,,,,0.008
HGW2507102389,2016-04-01T01:00:00,245-0016,663,,,,,,,
HGW0292545493,2016-04-01T01:00:00,194-0032,1173,,,,,,,
HGW1888757583,2016-04-01T01:00:00,194-0032,135,,,,,,,
HGW3087458710,2016-04-01T01:00:00,573-0084,298,,,,,325,0.09,0.007
HGW1163585690,2016-04-01T01:00:00,573-0084,83,,,,,240,0.07,
HGW2360924179,2016-04-01T01:00:00,245-0016,84,,,,,528,0.14,
HGW2979506575,2016-04-01T01:00:00,573-0084,2055,,,,,,,
HGW3939678160,2016-04-01T01:00:00,573-0084,61,,,,,225,0.065,0.016
HGW1901037140,2016-04-01T01:00:00,573-0084,1607,,,,,,,0.015
HGW2794906293,2016-04-01T01:00:00,194-0032,285,,,,,,,
HGW1255839825,2016-04-01T01:00:00,573-0084,232,,,,,,,
HGW1922304917,2016-04-01T01:00:00,274-0063,1119,,,,,,,
HGW0723606708,2016-04-01T01:00:00,194-0032,682,,,,,,,
HGW4233223550,2016-04-01T01:00:00,573-0084,45,,,,,157,0.07,0.006
HGW3975340233,2016-04-01T01:00:00,194-0032,634,,,,,,,
HGW1770315374,2016-04-01T01:00:00,245-0016,853,,,,,,,
HGW2211161695,2016-04-01T01:00:00,573-0084,193,,,,,,,0.016
HGW3979453947,2016-04-01T01:00:00,274-0063,118,,,,,229,0.035,
HGW3210466135,2016-04-01T01:00:00,573-0084,976,,,,,,,
HGW1150228943,2016-04-01T01:00:00,194-0032,43,,,,,218,0.07,
HGW3896978369,2016-04-01T01:00:00,245-0016,543,,,,,,,
HGW0224584910,2016-04-01T01:00:00,573-0084,45,,,,,161,0.06,
HGW2352450618,2016-04-01T01:00:00,194-0032,1188,,,,,,,0.007
HGW1382864968,2016-04-01T01:00:00,194-0032,311,,,,,,,
HGW3299398081,2016-04-01T01:00:00,595-0813,62,,,718,,232,0.07,
HGW3556093971,2016-04-01T01:00:00,595-0813,638,,,,,,,
HGW1779326846,2016-04-01T01:00:00,595-0813,51,,,,,133,0.065,0.008
HGW0980111669,2016-04-01T01:00:00,245-0016,1367,,,,,,0.005,0.011
HGW0548855049,2016-04-01T01:00:00,245-0016,325,,,,,270,0.075,0.016
HGW2019559833,2016-04-01T01:00:00,194-0032,3342,,,545,,,,0.013
HGW0056767924,2016-04-01T01:00:00,245-0016,1454,,,,,,,
HGW3905059517,2016-04-01T01:00:00,274-0063,249,,,,,,,
HGW3107087926,2016-04-01T01:00:00,595-0813,80,,,,,228,0.07,0.004
HGW4090376889,2016-04-01T01:00:00,245-0016,81,,,,,583,0.405,0.012
HGW2896326762,2016-04-01T01:00:00,274-0063,46,,,,,209,0.045,
HGW3027793024,2016-04-01T01:00:00,245-0016,151,,,,,335,0.09,0.011
HGW1337358987,2016-04-01T01:00:00,274-0063,49,,,,,160,0.06,
HGW3766800683,2016-04-01T01:00:00,194-0032,68,,,,,274,0.08,
HGW2238224375,2016-04-01T01:00:00,573-0084,1779,,,735,,414,0.115,
HGW2500187106,2016-04-01T01:00:00,595-0813,85,,,,,209,0.07,
HGW2633657355,2016-04-01T01:00:00,573-0084,184,,,,,499,0.135,0.01
HGW3036983001,2016-04-01T01:00:00,595-0813,71,,,,,259,0.075,0.004
HGW0340690536,2016-04-01T01:00:00,595-0813,77,,,,,225,0.065,
HGW3521173424,2016-04-01T01:00:00,245-0016,69,,,,,182,0.07,0.004
HGW2405676507,2016-04-01T01:00:00,274-0063,83,,,,,146,0.04,0.004
HGW1633016930,2016-04-01T01:00:00,573-0084,55,,,,,213,0.065,
HGW4048014188,2016-04-01T01:00:00,194-0032,242,,,,,470,0.37,
HGW4228193834,2016-04-01T01:00:00,245-0016,196,,,,,,,
HGW3199834989,2016-04-01T01:00:00,245-0016,59,,,,,166,0.065,0.004
HGW0852590661,2016-04-01T01:00:00,595-0813,53,,,,,158,0.065,
HGW3417223008,2016-04-01T01:00:00,194-0032,429,,,,,300,0.08,0.015
HGW0008585550,2016-04-01T01:00:00,573-0084,323,,,579,,,,
HGW3412860148,2016-04-01T01:00:00,194-0032,69,,,,,262,0.09,
HGW0297198766,2016-04-01T01:00:00,595-0813,158,,,890,,511,0.13,
HGW1392167190,2016-04-01T01:00:00,573-0084,80,,,,,265,0.075,
HGW0359516503,2016-04-01T01:00:00,194-0032,49,,,,,141,0.065,
HGW2950693375,2016-04-01T01:00:00,573-0084,982,,,619,829,,,
HGW1540053189,2016-04-01T02:00:00,276-0046,180,,,,,,,
HGW1849081661,2016-04-01T02:00:00,261-0013,180,,,,,,,
HGW2592410415,2016-04-01T02:00:00,276-0046,140,,,,,,,
HGW4192227781,2016-04-01T02:00:00,206-0824,40,,,,,174,0.06,
HGW2440335259,2016-04-01T02:00:00,206-0824,280,,,,,,,
HGW0022302486,2016-04-01T02:00:00,276-0046,250,,,,,,,
HGW0119000400,2016-04-01T02:00:00,276-0046,760,,,,,,,
HGW0527078356,2016-04-01T02:00:00,206-0824,40,,,,,125,0.07,
HGW3418795782,2016-04-01T02:00:00,276-0046,40,,,,,138,0.06,
HGW4086841355,2016-04-01T02:00:00,261-0013,70,,,,,442,0.11,
HGW2053016894,2016-04-01T02:00:00,261-0013,340,,,,,355,0.11,
HGW2056923843,2016-04-01T02:00:00,276-0046,1750,,,,,,,
HGW1567490790,2016-04-01T02:00:00,276-0046,170,,,,,,,
HGW0999938138,2016-04-01T02:00:00,261-0013,50,,,,,262,0.08,
HGW1484386037,2016-04-01T02:00:00,261-0013,130,,,,,,,
HGW2626196856,2016-04-01T02:00:00,276-0046,70,,,,,252,0.06,
HGW0341161038,2016-04-01T02:00:00,276-0046,1860,,,2101,,575,0.14,
HGW3506558406,2016-04-01T02:00:00,276-0046,260,,,,,,,
HGW3088922230,2016-04-01T02:00:00,206-0824,210,,,,,,,
HGW3316354389,2016-04-01T02:00:00,276-0046,250,,,,,,,
HGW3835466207,2016-04-01T02:00:00,261-0013,110,,,,,267,,
HGW0960788623,2016-04-01T02:00:00,206-0824,80,,,,,,,
HGW2465318239,2016-04-01T02:00:00,206-0824,140,,,,,,,
HGW4201723405,2016-04-01T02:00:00,206-0824,120,,,,,,,
HGW2984162470,2016-04-01T02:00:00,206-0824,518,,,100,,,,
