hemsId,date,postal,main,solarGenerated,solarSold,batteryCharge,batteryDischarge,fuelCell,gasUsage,waterUsage
HGW1540053189,2016-07-14T00:00:00,276-0046,170,,,,,,,
HGW1849081661,2016-07-14T00:00:00,261-0013,190,,,,,,,
HGW2592410415,2016-07-14T00:00:00,276-0046,350,,,,,236,0.34,
HGW4192227781,2016-07-14T00:00:00,206-0824,140,,,,,261,0.07,
HGW2440335259,2016-07-14T00:00:00,206-0824,570,,,,,,,
HGW0022302486,2016-07-14T00:00:00,276-0046,1940,,,1898,,359,0.09,
HGW0119000400,2016-07-14T00:00:00,276-0046,1280,,,818,,370,0.1,
HGW3729565342,2016-07-14T00:00:00,206-0824,100,,,,,,,
HGW0527078356,2016-07-14T00:00:00,206-0824,440,,,,,,,
HGW3418795782,2016-07-14T00:00:00,276-0046,60,,,,,172,0.07,
HGW4086841355,2016-07-14T00:00:00,261-0013,660,,,,,390,0.1,
HGW2053016894,2016-07-14T00:00:00,261-0013,230,,,,,408,0.11,
HGW4262390424,2016-07-14T00:00:00,276-0046,930,,,,,,,
HGW2056923843,2016-07-14T00:00:00,276-0046,1990,,,1467,,,,
HGW1567490790,2016-07-14T00:00:00,276-0046,250,,,,,,,
HGW2731818357,2016-07-14T00:00:00,276-0046,230,,,,,234,0.07,
HGW0999938138,2016-07-14T00:00:00,261-0013,540,,,,,506,0.13,
HGW1484386037,2016-07-14T00:00:00,261-0013,540,,,,,,,
HGW2626196856,2016-07-14T00:00:00,276-0046,850,,,,,,,
HGW3813403007,2016-07-14T00:00:00,261-0013,480,,,,,,,
HGW0341161038,2016-07-14T00:00:00,276-0046,1120,,,,,,,
HGW3506558406,2016-07-14T00:00:00,276-0046,640,,,,,,,
HGW3088922230,2016-07-14T00:00:00,206-0824,2660,,,2169,,,,
HGW0807025331,2016-07-14T00:00:00,261-0013,170,,,,,,,
HGW3316354389,2016-07-14T00:00:00,276-0046,440,,,,,,,
HGW3835466207,2016-07-14T00:00:00,261-0013,320,,,,,,,
HGW3938264288,2016-07-14T00:00:00,261-0013,200,,,,,,,
HGW0960788623,2016-07-14T00:00:00,206-0824,570,,,,,,,
HGW2465318239,2016-07-14T00:00:00,206-0824,170,,,,,344,,
HGW4201723405,2016-07-14T00:00:00,206-0824,1790,,,1414,,,,
HGW2984162470,2016-07-14T00:00:00,206-0824,423,,,228,263,,,
HGW2862754275,2016-07-14T00:00:00,573-0084,2735,,,2160,,,,0.021
HGW2864422167,2016-07-14T00:00:00,274-0063,503,,,,,,,0.088
HGW1145276568,2016-07-14T00:00:00,194-0032,50,,,,,232,0.08,0.007
HGW1628028254,2016-07-14T00:00:00,245-0016,2264,,,1019,,,,
HGW3819013474,2016-07-14T00:00:00,245-0016,521,,,,,,,0.007
HGW0109674464,2016-07-14T00:00:00,245-0016,1540,,,70,,,,0.003
HGW4266179256,2016-07-14T00:00:00,595-0813,437,,,,,,,
HGW2675582057,2016-07-14T00:00:00,274-0063,2774,,,2160,,,,
HGW2507102389,2016-07-14T00:00:00,245-0016,411,,,,,,,
HGW0292545493,2016-07-14T00:00:00,194-0032,1225,,,16,,,,
HGW1888757583,2016-07-14T00:00:00,194-0032,138,,,,,,,
HGW3087458710,2016-07-14T00:00:00,573-0084,398,,,,,,,
HGW2360924179,2016-07-14T00:00:00,245-0016,484,,,,,298,0.08,
HGW2979506575,2016-07-14T00:00:00,573-0084,1605,,,,,,,0.097
HGW3939678160,2016-07-14T00:00:00,573-0084,391,,,,,391,0.11,
HGW1901037140,2016-07-14T00:00:00,573-0084,3107,,,1070,,,,0.046
HGW1255839825,2016-07-14T00:00:00,573-0084,51,,,,,240,0.085,
HGW1922304917,2016-07-14T00:00:00,274-0063,552,,,,,,,0.011
HGW0723606708,2016-07-14T00:00:00,194-0032,1297,,,,,,,
HGW4233223550,2016-07-14T00:00:00,573-0084,303,,,,,,,
HGW3975340233,2016-07-14T00:00:00,194-0032,2645,,,768,,,,
HGW1770315374,2016-07-14T00:00:00,245-0016,3038,,,1108,,,,0.034
HGW2211161695,2016-07-14T00:00:00,573-0084,44,,,,,87,0.065,
HGW3979453947,2016-07-14T00:00:00,274-0063,504,,,,,,,0.006
HGW3210466135,2016-07-14T00:00:00,573-0084,1438,,,341,,,,
HGW1150228943,2016-07-14T00:00:00,194-0032,348,,,,,,,
HGW3896978369,2016-07-14T00:00:00,245-0016,256,,,,,,,
HGW0224584910,2016-07-14T00:00:00,573-0084,619,,,,,,0.005,0.013
HGW2352450618,2016-07-14T00:00:00,194-0032,2836,,,1084,,,,
HGW1382864968,2016-07-14T00:00:00,194-0032,1622,,,277,,,,
HGW3299398081,2016-07-14T00:00:00,595-0813,326,,,,,363,0.095,
HGW3556093971,2016-07-14T00:00:00,595-0813,2760,,,1367,,,,
HGW1779326846,2016-07-14T00:00:00,595-0813,41,,,,,217,0.075,
HGW0980111669,2016-07-14T00:00:00,245-0016,395,,,,,341,0.05,0.079
HGW0548855049,2016-07-14T00:00:00,245-0016,93,,,,,326,0.095,0.02
HGW2019559833,2016-07-14T00:00:00,194-0032,2005,,,712,,,,0.008
HGW3905059517,2016-07-14T00:00:00,274-0063,2135,,,647,,,,
HGW3107087926,2016-07-14T00:00:00,595-0813,133,,,,,246,0.075,
HGW4090376889,2016-07-14T00:00:00,245-0016,317,,,,,350,0.095,0.015
HGW2896326762,2016-07-14T00:00:00,274-0063,258,,,,,331,0.045,0.01
HGW3027793024,2016-07-14T00:00:00,245-0016,536,,,,,363,0.095,0.087
HGW1337358987,2016-07-14T00:00:00,274-0063,463,,,,,,,
HGW3766800683,2016-07-14T00:00:00,194-0032,283,,,,,356,0.095,
HGW2238224375,2016-07-14T00:00:00,573-0084,438,,,859,,284,0.085,0.001
HGW2500187106,2016-07-14T00:00:00,595-0813,433,,,,,327,0.09,0.005
HGW2633657355,2016-07-14T00:00:00,573-0084,197,,,,124,507,0.19,0.254
HGW3036983001,2016-07-14T00:00:00,595-0813,579,,,,,,,0.01
HGW0340690536,2016-07-14T00:00:00,595-0813,139,,,,,344,0.095,0.01
HGW3521173424,2016-07-14T00:00:00,245-0016,608,,,,,,,
HGW2405676507,2016-07-14T00:00:00,274-0063,293,,,,,272,0.085,
HGW1633016930,2016-07-14T00:00:00,573-0084,80,,,,,285,0.085,
HGW4048014188,2016-07-14T00:00:00,194-0032,164,,,,,510,0.15,0.004
HGW4228193834,2016-07-14T00:00:00,245-0016,1598,,,9,,,,
HGW3199834989,2016-07-14T00:00:00,245-0016,87,,,,,222,0.07,
HGW0852590661,2016-07-14T00:00:00,595-0813,402,,,,,313,0.095,0.044
HGW3417223008,2016-07-14T00:00:00,194-0032,616,,,,,,0.04,0.009
HGW0008585550,2016-07-14T00:00:00,573-0084,389,,,,,,,0.004
HGW3412860148,2016-07-14T00:00:00,194-0032,650,,,,,,0.22,
HGW0297198766,2016-07-14T00:00:00,595-0813,426,,,,,,,
HGW1392167190,2016-07-14T00:00:00,573-0084,840,,,,,,,0.008
HGW0359516503,2016-07-14T00:00:00,194-0032,572,,,,,,0.225,
HGW2950693375,2016-07-14T00:00:00,573-0084,69,,,,1080,,,
HGW1540053189,2016-07-14T01:00:00,276-0046,160,,,,,,,
HGW1849081661,2016-07-14T01:00:00,261-0013,190,,,,,,,
HGW2592410415,2016-07-14T01:00:00,276-0046,190,,,,,236,0.32,
HGW4192227781,2016-07-14T01:00:00,206-0824,80,,,,,223,0.07,
HGW2440335259,2016-07-14T01:00:00,206-0824,410,,,,,,,
HGW0022302486,2016-07-14T01:00:00,276-0046,60,,,,,244,0.07,
HGW0119000400,2016-07-14T01:00:00,276-0046,200,,,,,364,0.09,
HGW3729565342,2016-07-14T01:00:00,206-0824,110,,,,,,,
HGW0527078356,2016-07-14T01:00:00,206-0824,220,,,,,,,
HGW3418795782,2016-07-14T01:00:00,276-0046,70,,,,,159,0.07,
HGW4086841355,2016-07-14T01:00:00,261-0013,230,,,,,280,0.08,
HGW2053016894,2016-07-14T01:00:00,261-0013,230,,,,,305,0.09,
HGW4262390424,2016-07-14T01:00:00,276-0046,970,,,,,,,
HGW2056923843,2016-07-14T01:00:00,276-0046,330,,,,,,,
HGW1567490790,2016-07-14T01:00:00,276-0046,180,,,,,,,
HGW2731818357,2016-07-14T01:00:00,276-0046,130,,,,,220,0.06,
HGW0999938138,2016-07-14T01:00:00,261-0013,280,,,,,526,0.17,
HGW1484386037,2016-07-14T01:00:00,261-0013,910,,,,,,,
HGW2626196856,2016-07-14T01:00:00,276-0046,650,,,,,,,
HGW3813403007,2016-07-14T01:00:00,261-0013,720,,,,206,,,
HGW0341161038,2016-07-14T01:00:00,276-0046,680,,,,,,,
HGW3506558406,2016-07-14T01:00:00,276-0046,580,,,,,,,
HGW3088922230,2016-07-14T01:00:00,206-0824,2360,,,1493,,,,
HGW0807025331,2016-07-14T01:00:00,261-0013,170,,,,,,,
HGW3316354389,2016-07-14T01:00:00,276-0046,270,,,,,,,
HGW3835466207,2016-07-14T01:00:00,261-0013,310,,,,,,,
HGW3938264288,2016-07-14T01:00:00,261-0013,240,,,,,,,
HGW0960788623,2016-07-14T01:00:00,206-0824,590,,,,,,,
HGW2465318239,2016-07-14T01:00:00,206-0824,80,,,,,260,,
HGW4201723405,2016-07-14T01:00:00,206-0824,280,,,,,,,
HGW2984162470,2016-07-14T01:00:00,206-0824,430,,,118,159,,,
HGW2862754275,2016-07-14T01:00:00,573-0084,1784,,,371,,,,
HGW2864422167,2016-07-14T01:00:00,274-0063,583,,,,,,,
HGW1145276568,2016-07-14T01:00:00,194-0032,51,,,,,222,0.09,
