hemsId,date,postal,main,solarGenerated,solarSold,batteryCharge,batteryDischarge,fuelCell,gasUsage,waterUsage
HGW1540053189,2017-03-19T00:00:00,276-0046,200,,,,,,,
HGW1849081661,2017-03-19T00:00:00,261-0013,240,,,,,,,
HGW2592410415,2017-03-19T00:00:00,276-0046,80,,,,,305,0.42,
HGW4192227781,2017-03-19T00:00:00,206-0824,140,,,,,269,0.07,
HGW2440335259,2017-03-19T00:00:00,206-0824,70,,,,,373,0.09,
HGW0022302486,2017-03-19T00:00:00,276-0046,910,,,560,,692,0.25,
HGW0119000400,2017-03-19T00:00:00,276-0046,1790,,,1993,,569,0.13,
HGW3575684706,2017-03-19T00:00:00,276-0046,,,,,,,,
HGW0615069838,2017-03-19T00:00:00,206-0824,,,,,,,,
HGW3729565342,2017-03-19T00:00:00,206-0824,100,,,,,373,0.08,
HGW0527078356,2017-03-19T00:00:00,206-0824,2010,,,2116,,625,0.21,
HGW1592789004,2017-03-19T00:00:00,276-0046,,,,,,,,
HGW3418795782,2017-03-19T00:00:00,276-0046,220,,,,,,,
HGW4086841355,2017-03-19T00:00:00,261-0013,80,,,,,316,0.08,
HGW2053016894,2017-03-19T00:00:00,261-0013,50,,,,,288,0.07,
HGW2674981515,2017-03-19T00:00:00,276-0046,60,,,,,254,0.16,
HGW4262390424,2017-03-19T00:00:00,276-0046,460,,,,,,0.03,
HGW2056923843,2017-03-19T00:00:00,276-0046,3380,,,2160,,,,
HGW1567490790,2017-03-19T00:00:00,276-0046,180,,,,,,,
HGW2731818357,2017-03-19T00:00:00,276-0046,280,,,,,364,0.26,
HGW0999938138,2017-03-19T00:00:00,261-0013,120,,,,,230,0.06,
HGW1484386037,2017-03-19T00:00:00,261-0013,240,,,,,,,
HGW2626196856,2017-03-19T00:00:00,276-0046,180,,,,,357,0.26,
HGW2550549887,2017-03-19T00:00:00,261-0013,150,,,,,36,0.06,
HGW3813403007,2017-03-19T00:00:00,261-0013,120,,,36,5,467,0.41,
HGW0341161038,2017-03-19T00:00:00,276-0046,1160,,,,,340,0.15,
HGW3506558406,2017-03-19T00:00:00,276-0046,200,,,,,102,0.06,
HGW3088922230,2017-03-19T00:00:00,206-0824,2900,,,2220,,,,
HGW0807025331,2017-03-19T00:00:00,261-0013,110,,,105,,439,0.1,
HGW3176292276,2017-03-19T00:00:00,276-0046,50,,,,,272,0.08,
HGW3316354389,2017-03-19T00:00:00,276-0046,60,,,,,285,0.07,
HGW0549372333,2017-03-19T00:00:00,276-0046,1590,,,1230,,,,
HGW3835466207,2017-03-19T00:00:00,261-0013,330,,,,,,,
HGW3938264288,2017-03-19T00:00:00,261-0013,900,,,693,,,,
HGW0960788623,2017-03-19T00:00:00,206-0824,820,,,,,692,,
HGW2465318239,2017-03-19T00:00:00,206-0824,130,,,,,614,,
HGW4201723405,2017-03-19T00:00:00,206-0824,210,,,,,,,
HGW3464437875,2017-03-19T00:00:00,276-0046,90,,,,,361,,
HGW3424705551,2017-03-19T00:00:00,276-0046,1830,,,1303,,569,0.13,
HGW3475679756,2017-03-19T00:00:00,261-0013,300,,,,,420,0.25,
HGW1883670650,2017-03-19T00:00:00,261-0013,170,,,,,289,0.2,
HGW0011113187,2017-03-19T00:00:00,261-0013,2460,,,2167,,,,
HGW1724705971,2017-03-19T00:00:00,206-0824,50,,,,,461,0.12,
HGW2942607227,2017-03-19T00:00:00,261-0013,420,,,,,654,,
HGW0628187266,2017-03-19T00:00:00,206-0824,1370,,,1027,,,,
HGW1195139089,2017-03-19T00:00:00,206-0824,140,,,,,,,
HGW2700713230,2017-03-19T00:00:00,206-0824,50,,,,,183,0.06,
HGW3261148883,2017-03-19T00:00:00,261-0013,180,,,,,184,0.06,
HGW1448815520,2017-03-19T00:00:00,261-0013,820,,,1137,,365,,
HGW2435917096,2017-03-19T00:00:00,206-0824,180,,,,,,,
HGW3657144636,2017-03-19T00:00:00,276-0046,,,,,,,,
HGW3383673487,2017-03-19T00:00:00,206-0824,160,,,,,,,
HGW4248700718,2017-03-19T00:00:00,261-0013,410,,,,,,,
HGW0418472336,2017-03-19T00:00:00,261-0013,2230,,,1503,,,,
HGW0344115655,2017-03-19T00:00:00,206-0824,180,,,,,,,
HGW2862754275,2017-03-19T00:00:00,573-0084,2714,,,1392,,,,
HGW2864422167,2017-03-19T00:00:00,274-0063,74,,,,,404,0.43,
HGW1145276568,2017-03-19T00:00:00,194-0032,75,,,,,302,0.08,
HGW1628028254,2017-03-19T00:00:00,245-0016,3263,,,1113,,,,0.009
HGW3819013474,2017-03-19T00:00:00,245-0016,53,,,,,202,0.075,
HGW0109674464,2017-03-19T00:00:00,245-0016,1147,,,7,,,,
HGW4266179256,2017-03-19T00:00:00,595-0813,97,,,,,254,0.075,0.009
HGW2507102389,2017-03-19T00:00:00,245-0016,523,,,,,,,0.05
HGW0292545493,2017-03-19T00:00:00,194-0032,3353,,,2219,,,,0.016
HGW3087458710,2017-03-19T00:00:00,573-0084,565,,,,,,,
HGW1163585690,2017-03-19T00:00:00,573-0084,133,,,,,287,0.075,
HGW2360924179,2017-03-19T00:00:00,245-0016,355,,,,,619,0.515,0.008
HGW2979506575,2017-03-19T00:00:00,573-0084,2476,,,2071,,,,
HGW3939678160,2017-03-19T00:00:00,573-0084,225,,,,,680,0.285,0.062
HGW1901037140,2017-03-19T00:00:00,573-0084,4145,,,1064,,,,0.042
HGW2794906293,2017-03-19T00:00:00,194-0032,3081,,,,,,,0.111
HGW1255839825,2017-03-19T00:00:00,573-0084,56,,,,,197,0.06,0.008
HGW1922304917,2017-03-19T00:00:00,274-0063,887,,,,,,,0.036
HGW0723606708,2017-03-19T00:00:00,194-0032,4255,,,1093,,,,
HGW4233223550,2017-03-19T00:00:00,573-0084,55,,,,,202,0.065,
HGW3975340233,2017-03-19T00:00:00,194-0032,3691,,,2056,,,,0.003
HGW1770315374,2017-03-19T00:00:00,245-0016,1272,,,,,,,0.029
HGW2211161695,2017-03-19T00:00:00,573-0084,47,,,,,77,0.06,
HGW3979453947,2017-03-19T00:00:00,274-0063,306,,,,,246,0.035,0.002
HGW3210466135,2017-03-19T00:00:00,573-0084,3516,,,2167,,,,
HGW1150228943,2017-03-19T00:00:00,194-0032,53,,,,,343,0.09,0.016
HGW3896978369,2017-03-19T00:00:00,245-0016,1980,,,,,,,
HGW0224584910,2017-03-19T00:00:00,573-0084,234,,,,,,,0.007
HGW2352450618,2017-03-19T00:00:00,194-0032,3296,,,1169,,,,
HGW1382864968,2017-03-19T00:00:00,194-0032,517,,,,,472,0.055,
HGW3299398081,2017-03-19T00:00:00,595-0813,267,,,895,,532,0.13,
HGW3556093971,2017-03-19T00:00:00,595-0813,2529,,,2183,,,,
HGW1779326846,2017-03-19T00:00:00,595-0813,141,,,,,228,0.07,0.008
HGW0980111669,2017-03-19T00:00:00,245-0016,2391,,,1188,,669,0.08,
HGW0548855049,2017-03-19T00:00:00,245-0016,322,,,,,402,0.29,0.164
HGW2019559833,2017-03-19T00:00:00,194-0032,3001,,,1623,,,,0.002
HGW3905059517,2017-03-19T00:00:00,274-0063,2788,,,1100,,,,0.005
HGW3107087926,2017-03-19T00:00:00,595-0813,53,,,,,173,0.065,0.004
HGW4090376889,2017-03-19T00:00:00,245-0016,349,,,,87,541,0.13,0.016
HGW2896326762,2017-03-19T00:00:00,274-0063,53,,,,,158,0.03,
HGW3027793024,2017-03-19T00:00:00,245-0016,771,,,,,,0.075,0.01
HGW1337358987,2017-03-19T00:00:00,274-0063,50,,,,,127,0.06,
HGW3766800683,2017-03-19T00:00:00,194-0032,61,,,,,307,0.085,
HGW2238224375,2017-03-19T00:00:00,573-0084,46,,,704,,105,0.065,
HGW2500187106,2017-03-19T00:00:00,595-0813,242,,,,,629,0.27,0.113
HGW2633657355,2017-03-19T00:00:00,573-0084,692,,,,,620,0.605,0.16
HGW3036983001,2017-03-19T00:00:00,595-0813,1334,,,,,,,0.003
HGW0340690536,2017-03-19T00:00:00,595-0813,87,,,,,236,0.065,0.005
HGW3521173424,2017-03-19T00:00:00,245-0016,69,,,,,513,0.125,0.002
HGW2405676507,2017-03-19T00:00:00,274-0063,46,,,,,89,0.06,
HGW1633016930,2017-03-19T00:00:00,573-0084,329,,,,,361,0.175,0.006
HGW4048014188,2017-03-19T00:00:00,194-0032,660,,,,,532,0.145,0.016
HGW4228193834,2017-03-19T00:00:00,245-0016,422,,,,,,,0.004
HGW3199834989,2017-03-19T00:00:00,245-0016,60,,,,,181,0.06,
HGW0852590661,2017-03-19T00:00:00,595-0813,56,,,,,170,0.065,
HGW3417223008,2017-03-19T00:00:00,194-0032,291,,,,,490,0.12,0.013
HGW0008585550,2017-03-19T00:00:00,573-0084,466,,,,,,,0.007
HGW3412860148,2017-03-19T00:00:00,194-0032,126,,,48,,638,0.45,
HGW0297198766,2017-03-19T00:00:00,595-0813,708,,,,,672,0.165,
HGW1392167190,2017-03-19T00:00:00,573-0084,414,,,,,404,0.11,0.008
HGW0359516503,2017-03-19T00:00:00,194-0032,49,,,,,164,0.08,
HGW2950693375,2017-03-19T00:00:00,573-0084,1103,,,,,,,
HGW1540053189,2017-03-19T01:00:00,276-0046,200,,,,,,,
HGW1849081661,2017-03-19T01:00:00,261-0013,230,,,,,,,
HGW2592410415,2017-03-19T01:00:00,276-0046,80,,,,,297,0.4,
HGW4192227781,2017-03-19T01:00:00,206-0824,280,,,,,276,0.08,
HGW2440335259,2017-03-19T01:00:00,206-0824,70,,,,,299,0.08,
HGW0022302486,2017-03-19T01:00:00,276-0046,260,,,,,692,0.24,
HGW0119000400,2017-03-19T01:00:00,276-0046,290,,,10,,263,0.09,
HGW3575684706,2017-03-19T01:00:00,276-0046,,,,,,,,
HGW0615069838,2017-03-19T01:00:00,206-0824,,,,,,,,
HGW3729565342,2017-03-19T01:00:00,206-0824,130,,,,,422,0.1,
HGW0527078356,2017-03-19T01:00:00,206-0824,1100,,,1163,,543,0.21,
HGW1592789004,2017-03-19T01:00:00,276-0046,,,,,,,,
HGW3418795782,2017-03-19T01:00:00,276-0046,200,,,,,,,
HGW4086841355,2017-03-19T01:00:00,261-0013,330,,,,,371,0.09,
HGW2053016894,2017-03-19T01:00:00,261-0013,50,,,,,248,0.07,
HGW2674981515,2017-03-19T01:00:00,276-0046,40,,,,,161,0.06,
HGW4262390424,2017-03-19T01:00:00,276-0046,300,,,,,,,
HGW2056923843,2017-03-19T01:00:00,276-0046,2710,,,361,,,,
HGW1567490790,2017-03-19T01:00:00,276-0046,170,,,,,,,
HGW2731818357,2017-03-19T01:00:00,276-0046,300,,,,,339,0.25,
HGW0999938138,2017-03-19T01:00:00,261-0013,70,,,,,222,0.08,
HGW1484386037,2017-03-19T01:00:00,261-0013,270,,,,,,,
HGW2626196856,2017-03-19T01:00:00,276-0046,320,,,,,482,0.35,
HGW2550549887,2017-03-19T01:00:00,261-0013,140,,,,,28,0.06,
HGW3813403007,2017-03-19T01:00:00,261-0013,100,,,112,,322,0.09,
HGW0341161038,2017-03-19T01:00:00,276-0046,220,,,,,213,0.08,
HGW3506558406,2017-03-19T01:00:00,276-0046,190,,,,,103,0.07,
HGW3088922230,2017-03-19T01:00:00,206-0824,1620,,,1341,,,,
HGW0807025331,2017-03-19T01:00:00,261-0013,120,,,137,,297,0.08,
HGW3176292276,2017-03-19T01:00:00,276-0046,50,,,,,247,0.07,
HGW3316354389,2017-03-19T01:00:00,276-0046,50,,,,,200,0.07,
HGW0549372333,2017-03-19T01:00:00,276-0046,270,,,,,,,
HGW3835466207,2017-03-19T01:00:00,261-0013,340,,,,,,,
HGW3938264288,2017-03-19T01:00:00,261-0013,180,,,,,,,
HGW0960788623,2017-03-19T01:00:00,206-0824,300,,,,,621,,
HGW2465318239,2017-03-19T01:00:00,206-0824,90,,,,,535,,
HGW4201723405,2017-03-19T01:00:00,206-0824,1760,,,,,,,
HGW3464437875,2017-03-19T01:00:00,276-0046,50,,,,,264,,
HGW3424705551,2017-03-19T01:00:00,276-0046,420,,,,,568,0.13,
HGW3475679756,2017-03-19T01:00:00,261-0013,310,,,,,427,0.22,
HGW1883670650,2017-03-19T01:00:00,261-0013,50,,,,,185,0.08,
HGW0011113187,2017-03-19T01:00:00,261-0013,200,,,,,,,
HGW1724705971,2017-03-19T01:00:00,206-0824,50,,,,,463,0.11,
HGW2942607227,2017-03-19T01:00:00,261-0013,70,,,,,241,,
HGW0628187266,2017-03-19T01:00:00,206-0824,300,,,,,,,
HGW1195139089,2017-03-19T01:00:00,206-0824,140,,,,,,,
HGW2700713230,2017-03-19T01:00:00,206-0824,50,,,,,248,0.08,
HGW3261148883,2017-03-19T01:00:00,261-0013,270,,,,,536,0.13,
HGW1448815520,2017-03-19T01:00:00,261-0013,250,,,,,258,,
HGW2435917096,2017-03-19T01:00:00,206-0824,170,,,,,,,
HGW3657144636,2017-03-19T01:00:00,276-0046,,,,,,,,
HGW3383673487,2017-03-19T01:00:00,206-0824,150,,,,,,,
HGW4248700718,2017-03-19T01:00:00,261-0013,350,,,,,,,
HGW0418472336,2017-03-19T01:00:00,261-0013,2900,,,1496,,,,
HGW0344115655,2017-03-19T01:00:00,206-0824,180,,,,,,,
HGW2862754275,2017-03-19T01:00:00,573-0084,1076,,,,,,,0.013
HGW2864422167,2017-03-19T01:00:00,274-0063,123,,,,,268,0.365,
HGW1145276568,2017-03-19T01:00:00,194-0032,65,,,,,252,0.07,0.001
HGW1628028254,2017-03-19T01:00:00,245-0016,1400,,,,,,,0.008
HGW3819013474,2017-03-19T01:00:00,245-0016,52,,,,,177,0.06,
HGW0109674464,2017-03-19T01:00:00,245-0016,1244,,,,,,,0.002
HGW4266179256,2017-03-19T01:00:00,595-0813,135,,,,,233,0.07,
HGW2507102389,2017-03-19T01:00:00,245-0016,983,,,,,,,
HGW0292545493,2017-03-19T01:00:00,194-0032,2874,,,272,,,,
HGW3087458710,2017-03-19T01:00:00,573-0084,200,,,,,,,0.008
HGW1163585690,2017-03-19T01:00:00,573-0084,110,,,,,271,0.075,
HGW2360924179,2017-03-19T01:00:00,245-0016,167,,,,,526,0.49,
HGW2979506575,2017-03-19T01:00:00,573-0084,1652,,,,,,,
