hemsId,date,postal,main,solarGenerated,solarSold,batteryCharge,batteryDischarge,fuelCell,gasUsage,waterUsage
HGW1540053189,2017-01-22T00:00:00,276-0046,2360,,,,,,,
HGW1849081661,2017-01-22T00:00:00,261-0013,240,,,,,,,
HGW2592410415,2017-01-22T00:00:00,276-0046,50,,,,,184,0.07,
HGW4192227781,2017-01-22T00:00:00,206-0824,500,,,,,436,0.15,
HGW2440335259,2017-01-22T00:00:00,206-0824,60,,,,,216,0.08,
HGW0022302486,2017-01-22T00:00:00,276-0046,4050,,,2160,,,,
HGW0119000400,2017-01-22T00:00:00,276-0046,2690,,,2092,,,,
HGW3729565342,2017-01-22T00:00:00,206-0824,1010,,,,,490,0.13,
HGW0527078356,2017-01-22T00:00:00,206-0824,2660,,,2107,,613,0.14,
HGW3418795782,2017-01-22T00:00:00,276-0046,40,,,,,173,0.06,
HGW4086841355,2017-01-22T00:00:00,261-0013,140,,,,,422,0.1,
HGW2053016894,2017-01-22T00:00:00,261-0013,150,,,,,280,0.08,
HGW2674981515,2017-01-22T00:00:00,276-0046,50,,,,,230,0.07,
HGW4262390424,2017-01-22T00:00:00,276-0046,350,,,,,483,0.11,
HGW2056923843,2017-01-22T00:00:00,276-0046,4540,,,2183,,,,
HGW1567490790,2017-01-22T00:00:00,276-0046,2780,,,2116,,,,
HGW2731818357,2017-01-22T00:00:00,276-0046,950,,,,,430,0.43,
HGW0999938138,2017-01-22T00:00:00,261-0013,360,,,,,374,0.1,
HGW1484386037,2017-01-22T00:00:00,261-0013,30,,,,,179,0.06,
HGW2626196856,2017-01-22T00:00:00,276-0046,240,,,,,426,0.38,
HGW2550549887,2017-01-22T00:00:00,261-0013,170,,,,,103,0.07,
HGW3813403007,2017-01-22T00:00:00,261-0013,610,,,,117,556,0.42,
HGW0341161038,2017-01-22T00:00:00,276-0046,530,,,,,408,0.1,
HGW3506558406,2017-01-22T00:00:00,276-0046,200,,,,,70,0.06,
HGW3088922230,2017-01-22T00:00:00,206-0824,2550,,,2160,,,,
HGW0807025331,2017-01-22T00:00:00,261-0013,150,,,,,288,0.09,
HGW3176292276,2017-01-22T00:00:00,276-0046,150,,,,,,,
HGW3316354389,2017-01-22T00:00:00,276-0046,1340,,,,,507,0.12,
HGW0549372333,2017-01-22T00:00:00,276-0046,,,,,,,,
HGW3835466207,2017-01-22T00:00:00,261-0013,110,,,,,285,,
HGW3938264288,2017-01-22T00:00:00,261-0013,2260,,,1498,,,,
HGW0960788623,2017-01-22T00:00:00,206-0824,50,,,,,222,,
HGW2465318239,2017-01-22T00:00:00,206-0824,80,,,,,550,,
HGW4201723405,2017-01-22T00:00:00,206-0824,1850,,,,,,,
HGW3464437875,2017-01-22T00:00:00,276-0046,60,,,,,228,,
HGW3424705551,2017-01-22T00:00:00,276-0046,3450,,,2130,,,,
HGW3475679756,2017-01-22T00:00:00,261-0013,1290,,,,,364,0.35,
HGW0011113187,2017-01-22T00:00:00,261-0013,3950,,,2160,,,,
HGW1724705971,2017-01-22T00:00:00,206-0824,620,,,,,,0.01,
HGW2942607227,2017-01-22T00:00:00,261-0013,290,,,,,431,,
HGW0628187266,2017-01-22T00:00:00,206-0824,1990,,,1502,,,,
HGW2700713230,2017-01-22T00:00:00,206-0824,50,,,,,259,0.07,
HGW3261148883,2017-01-22T00:00:00,261-0013,830,,,602,,569,0.14,
HGW3657144636,2017-01-22T00:00:00,276-0046,1160,,,833,,237,0.33,
HGW2862754275,2017-01-22T00:00:00,573-0084,3181,,,2124,,,,0.022
HGW2864422167,2017-01-22T00:00:00,274-0063,835,,,,,678,0.485,0.034
HGW1145276568,2017-01-22T00:00:00,194-0032,54,,,,,192,0.065,
HGW1628028254,2017-01-22T00:00:00,245-0016,3163,,,1174,,,,0.019
HGW3819013474,2017-01-22T00:00:00,245-0016,75,,,,,258,0.07,
HGW0109674464,2017-01-22T00:00:00,245-0016,2410,,,1158,,,,
HGW4266179256,2017-01-22T00:00:00,595-0813,88,,,,,271,0.09,
HGW2507102389,2017-01-22T00:00:00,245-0016,2227,,,651,,,,
HGW0292545493,2017-01-22T00:00:00,194-0032,3912,,,2220,,,,0.012
HGW1888757583,2017-01-22T00:00:00,194-0032,226,,,,,,,
HGW3087458710,2017-01-22T00:00:00,573-0084,769,,,,,,0.03,0.005
HGW1163585690,2017-01-22T00:00:00,573-0084,111,,,,,325,0.085,
HGW2360924179,2017-01-22T00:00:00,245-0016,357,,,,,393,0.1,0.007
HGW2979506575,2017-01-22T00:00:00,573-0084,4554,,,2102,,,,0.177
HGW3939678160,2017-01-22T00:00:00,573-0084,573,,,,,677,0.24,0.052
HGW1901037140,2017-01-22T00:00:00,573-0084,4566,,,1205,,,,
HGW2794906293,2017-01-22T00:00:00,194-0032,4945,,,2224,,,,0.028
HGW1255839825,2017-01-22T00:00:00,573-0084,57,,,,,186,0.065,
HGW1922304917,2017-01-22T00:00:00,274-0063,1536,,,,,,,0.06
HGW0723606708,2017-01-22T00:00:00,194-0032,4281,,,1129,,,,
HGW4233223550,2017-01-22T00:00:00,573-0084,156,,,,,401,0.115,0.01
HGW3975340233,2017-01-22T00:00:00,194-0032,4642,,,1743,,,,0.001
HGW1770315374,2017-01-22T00:00:00,245-0016,3330,,,1141,,,,0.022
HGW2211161695,2017-01-22T00:00:00,573-0084,334,,,,,265,0.125,
HGW3979453947,2017-01-22T00:00:00,274-0063,167,,,,,516,0.14,0.001
HGW3210466135,2017-01-22T00:00:00,573-0084,5245,,,2186,,,,0.018
HGW1150228943,2017-01-22T00:00:00,194-0032,274,,,,,500,0.13,
HGW3896978369,2017-01-22T00:00:00,245-0016,3208,,,,,,,0.011
HGW0224584910,2017-01-22T00:00:00,573-0084,207,,,,,441,0.11,0.007
HGW2352450618,2017-01-22T00:00:00,194-0032,3113,,,1233,,,,
HGW1382864968,2017-01-22T00:00:00,194-0032,2644,,,1244,,,,
HGW3299398081,2017-01-22T00:00:00,595-0813,938,,,872,,552,0.13,0.008
HGW3556093971,2017-01-22T00:00:00,595-0813,2876,,,2220,,,,0.003
HGW1779326846,2017-01-22T00:00:00,595-0813,404,,,,,454,0.115,0.011
HGW0980111669,2017-01-22T00:00:00,245-0016,3546,,,1219,,672,0.08,0.001
HGW0548855049,2017-01-22T00:00:00,245-0016,316,,,,,597,0.155,0.008
HGW2019559833,2017-01-22T00:00:00,194-0032,3586,,,1434,,,,
HGW3905059517,2017-01-22T00:00:00,274-0063,4027,,,1252,,,,
HGW3107087926,2017-01-22T00:00:00,595-0813,56,,,,,199,0.065,
HGW4090376889,2017-01-22T00:00:00,245-0016,71,,,,,265,0.08,
HGW2896326762,2017-01-22T00:00:00,274-0063,493,,,,,348,0.045,0.016
HGW3027793024,2017-01-22T00:00:00,245-0016,318,,,,,340,0.1,0.012
HGW1337358987,2017-01-22T00:00:00,274-0063,72,,,,,236,0.09,
HGW3766800683,2017-01-22T00:00:00,194-0032,480,,,,,,,
HGW2238224375,2017-01-22T00:00:00,573-0084,470,,,902,,271,0.08,0.003
HGW2500187106,2017-01-22T00:00:00,595-0813,533,,,,,545,0.145,
HGW2633657355,2017-01-22T00:00:00,573-0084,1123,,,,,627,0.615,0.261
HGW3036983001,2017-01-22T00:00:00,595-0813,1469,,,,,367,0.085,0.004
HGW0340690536,2017-01-22T00:00:00,595-0813,68,,,,,307,0.085,
HGW3521173424,2017-01-22T00:00:00,245-0016,146,,,,,460,0.11,
HGW2405676507,2017-01-22T00:00:00,274-0063,102,,,,,411,0.13,
HGW1633016930,2017-01-22T00:00:00,573-0084,70,,,,,208,0.075,0.005
HGW4048014188,2017-01-22T00:00:00,194-0032,60,,,,,138,0.06,
HGW4228193834,2017-01-22T00:00:00,245-0016,699,,,,,,0.05,
HGW3199834989,2017-01-22T00:00:00,245-0016,158,,,,,400,0.11,0.005
HGW0852590661,2017-01-22T00:00:00,595-0813,63,,,,,297,0.09,0.001
HGW3417223008,2017-01-22T00:00:00,194-0032,357,,,,,375,0.11,0.009
HGW0008585550,2017-01-22T00:00:00,573-0084,362,,,,,,0.375,
HGW3412860148,2017-01-22T00:00:00,194-0032,559,,,4,25,490,0.41,0.005
HGW0297198766,2017-01-22T00:00:00,595-0813,84,,,,,287,0.08,
HGW1392167190,2017-01-22T00:00:00,573-0084,187,,,,,369,0.11,
HGW0359516503,2017-01-22T00:00:00,194-0032,485,,,,,615,0.5,
HGW2950693375,2017-01-22T00:00:00,573-0084,1068,,,,,,,
HGW1540053189,2017-01-22T01:00:00,276-0046,2440,,,,,,,
HGW1849081661,2017-01-22T01:00:00,261-0013,230,,,,,,,
HGW2592410415,2017-01-22T01:00:00,276-0046,40,,10,,,162,0.06,
HGW4192227781,2017-01-22T01:00:00,206-0824,260,,,,,321,0.09,
HGW2440335259,2017-01-22T01:00:00,206-0824,40,,,,,203,0.07,
HGW0022302486,2017-01-22T01:00:00,276-0046,1860,,,632,,,,
HGW0119000400,2017-01-22T01:00:00,276-0046,2530,,,2093,,,,
