hemsId,date,postal,main,solarGenerated,solarSold,batteryCharge,batteryDischarge,fuelCell,gasUsage,waterUsage
HGW1540053189,2016-08-24T00:00:00,276-0046,180,,,,,,,
HGW1849081661,2016-08-24T00:00:00,261-0013,230,,,,,,,
HGW2592410415,2016-08-24T00:00:00,276-0046,630,,,,,,0.29,
HGW4192227781,2016-08-24T00:00:00,206-0824,390,,,,,,,
HGW2440335259,2016-08-24T00:00:00,206-0824,590,,,,,,,
HGW0022302486,2016-08-24T00:00:00,276-0046,1960,,,1161,,,,
HGW0119000400,2016-08-24T00:00:00,276-0046,3440,,,2095,,,,
HGW3729565342,2016-08-24T00:00:00,206-0824,910,,,,,,,
HGW0527078356,2016-08-24T00:00:00,206-0824,30,,,,,161,0.17,
HGW3418795782,2016-08-24T00:00:00,276-0046,360,,,,,,,
HGW4086841355,2016-08-24T00:00:00,261-0013,840,,,,,,0.02,
HGW2053016894,2016-08-24T00:00:00,261-0013,340,,,,,236,0.06,
HGW4262390424,2016-08-24T00:00:00,276-0046,750,,,,,,,
HGW2056923843,2016-08-24T00:00:00,276-0046,3190,,,2220,,,,
HGW1567490790,2016-08-24T00:00:00,276-0046,2540,,,2148,,,,
HGW2731818357,2016-08-24T00:00:00,276-0046,800,,,,,,,
HGW0999938138,2016-08-24T00:00:00,261-0013,1090,,,,,,0.02,
HGW1484386037,2016-08-24T00:00:00,261-0013,420,,,,,,,
HGW2626196856,2016-08-24T00:00:00,276-0046,1040,,,,,,,
HGW3813403007,2016-08-24T00:00:00,261-0013,820,,,,,,,
HGW0341161038,2016-08-24T00:00:00,276-0046,1410,,,,,,,
HGW3506558406,2016-08-24T00:00:00,276-0046,410,,,,,,,
HGW3088922230,2016-08-24T00:00:00,206-0824,3020,,,2164,,,,
HGW0807025331,2016-08-24T00:00:00,261-0013,650,,,,,,,
HGW3316354389,2016-08-24T00:00:00,276-0046,800,,,,,,,
HGW3835466207,2016-08-24T00:00:00,261-0013,460,,,,,310,,
HGW3938264288,2016-08-24T00:00:00,261-0013,910,,,496,,,,
HGW0960788623,2016-08-24T00:00:00,206-0824,720,,,,,,,
HGW2465318239,2016-08-24T00:00:00,206-0824,890,,,,,,,
HGW4201723405,2016-08-24T00:00:00,206-0824,2980,,,2156,,,,
HGW2984162470,2016-08-24T00:00:00,206-0824,416,,,117,162,,,
HGW2862754275,2016-08-24T00:00:00,573-0084,2604,,,2160,,,,0.012
HGW2864422167,2016-08-24T00:00:00,274-0063,491,,,,,,,0.027
HGW1145276568,2016-08-24T00:00:00,194-0032,258,,,,,,,0.006
HGW1628028254,2016-08-24T00:00:00,245-0016,2176,,,999,,,,
HGW3819013474,2016-08-24T00:00:00,245-0016,924,,,,,,,
HGW0109674464,2016-08-24T00:00:00,245-0016,393,,,,,,,
HGW4266179256,2016-08-24T00:00:00,595-0813,958,,,,114,,,
HGW2507102389,2016-08-24T00:00:00,245-0016,889,,,,,,,
HGW0292545493,2016-08-24T00:00:00,194-0032,2589,,,2149,,,,
HGW1888757583,2016-08-24T00:00:00,194-0032,136,,,,,,,
HGW3087458710,2016-08-24T00:00:00,573-0084,378,,,,,,,
HGW1163585690,2016-08-24T00:00:00,573-0084,344,,,,,,,
HGW2360924179,2016-08-24T00:00:00,245-0016,622,,,,,,,0.008
HGW2979506575,2016-08-24T00:00:00,573-0084,732,,,,,,,0.066
HGW3939678160,2016-08-24T00:00:00,573-0084,1264,,,,,299,0.085,0.07
HGW1901037140,2016-08-24T00:00:00,573-0084,199,,,,,,,
HGW1255839825,2016-08-24T00:00:00,573-0084,433,,,,,,,
HGW1922304917,2016-08-24T00:00:00,274-0063,2349,,,660,,,,0.047
HGW0723606708,2016-08-24T00:00:00,194-0032,1868,,,502,,,,
HGW4233223550,2016-08-24T00:00:00,573-0084,279,,,,,,,
HGW3975340233,2016-08-24T00:00:00,194-0032,2836,,,2091,,,,0.016
HGW1770315374,2016-08-24T00:00:00,245-0016,3346,,,1252,,,,
HGW2211161695,2016-08-24T00:00:00,573-0084,248,,,,,,,
HGW3979453947,2016-08-24T00:00:00,274-0063,84,,,,,276,0.04,
HGW3210466135,2016-08-24T00:00:00,573-0084,2578,,,1810,,,,
HGW1150228943,2016-08-24T00:00:00,194-0032,367,,,,,,,
HGW3896978369,2016-08-24T00:00:00,245-0016,250,,,,,,,
HGW0224584910,2016-08-24T00:00:00,573-0084,664,,,,,,,
HGW2352450618,2016-08-24T00:00:00,194-0032,2774,,,1057,,,,0.001
HGW1382864968,2016-08-24T00:00:00,194-0032,414,,,,,,,
HGW3299398081,2016-08-24T00:00:00,595-0813,149,,,,,327,0.09,0.019
HGW3556093971,2016-08-24T00:00:00,595-0813,2464,,,2124,,,,
HGW1779326846,2016-08-24T00:00:00,595-0813,443,,,,,,,0.029
HGW0980111669,2016-08-24T00:00:00,245-0016,553,,,,,314,0.045,0.036
HGW0548855049,2016-08-24T00:00:00,245-0016,703,,,,,,0.06,0.075
HGW2019559833,2016-08-24T00:00:00,194-0032,2609,,,1469,,,,
HGW3905059517,2016-08-24T00:00:00,274-0063,717,,,,,,,0.009
HGW3107087926,2016-08-24T00:00:00,595-0813,320,,,,,,,0.004
HGW4090376889,2016-08-24T00:00:00,245-0016,377,,,,,337,0.09,0.005
HGW2896326762,2016-08-24T00:00:00,274-0063,248,,,,,,,
HGW3027793024,2016-08-24T00:00:00,245-0016,739,,,,,363,0.095,
HGW1337358987,2016-08-24T00:00:00,274-0063,292,,,,,,,
HGW3766800683,2016-08-24T00:00:00,194-0032,173,,,,,461,0.135,
HGW2238224375,2016-08-24T00:00:00,573-0084,293,,,884,,,,0.004
HGW2500187106,2016-08-24T00:00:00,595-0813,601,,,,,,0.065,0.057
