hemsId,date,postal,main,solarGenerated,solarSold,batteryCharge,batteryDischarge,fuelCell,gasUsage,waterUsage
HGW1540053189,2016-05-22T00:00:00,276-0046,150,,,,,,,
HGW1849081661,2016-05-22T00:00:00,261-0013,180,,,,,,,
HGW2592410415,2016-05-22T00:00:00,276-0046,50,,,,,320,0.08,
HGW4192227781,2016-05-22T00:00:00,206-0824,350,,,,,,,
HGW2440335259,2016-05-22T00:00:00,206-0824,40,,,,,193,0.06,
HGW0022302486,2016-05-22T00:00:00,276-0046,60,,,,,349,0.09,
HGW0119000400,2016-05-22T00:00:00,276-0046,860,,,275,,,,
HGW0527078356,2016-05-22T00:00:00,206-0824,50,,,,,286,0.07,
HGW3418795782,2016-05-22T00:00:00,276-0046,220,,,,,,,
HGW4086841355,2016-05-22T00:00:00,261-0013,290,,,,,314,0.09,
HGW2053016894,2016-05-22T00:00:00,261-0013,110,,,,,504,0.13,
HGW2056923843,2016-05-22T00:00:00,276-0046,660,,,342,,,,
HGW1567490790,2016-05-22T00:00:00,276-0046,170,,,,,,,
HGW2731818357,2016-05-22T00:00:00,276-0046,130,,,,,,,
HGW0999938138,2016-05-22T00:00:00,261-0013,590,,,,,,0.01,
HGW1484386037,2016-05-22T00:00:00,261-0013,440,,,,,,,
HGW2626196856,2016-05-22T00:00:00,276-0046,80,,,,,385,0.09,
HGW3813403007,2016-05-22T00:00:00,261-0013,,,,,,,,
HGW0341161038,2016-05-22T00:00:00,276-0046,40,,,,,199,0.08,
HGW3506558406,2016-05-22T00:00:00,276-0046,290,,,,,,,
HGW3088922230,2016-05-22T00:00:00,206-0824,3050,,,2176,,,,
HGW3316354389,2016-05-22T00:00:00,276-0046,50,,,,,234,0.07,
HGW3835466207,2016-05-22T00:00:00,261-0013,220,,,,,243,,
HGW3938264288,2016-05-22T00:00:00,261-0013,120,,,,,,,
HGW0960788623,2016-05-22T00:00:00,206-0824,80,,,,,288,,
HGW2465318239,2016-05-22T00:00:00,206-0824,70,,,,,492,,
HGW4201723405,2016-05-22T00:00:00,206-0824,290,,,,,,,
HGW2984162470,2016-05-22T00:00:00,206-0824,619,,,117,12,,,
HGW2862754275,2016-05-22T00:00:00,573-0084,2234,,,872,,,,
HGW2864422167,2016-05-22T00:00:00,274-0063,92,,,,,318,0.09,0.022
HGW1145276568,2016-05-22T00:00:00,194-0032,51,,,,,217,0.065,
HGW1628028254,2016-05-22T00:00:00,245-0016,268,,,,,,,
HGW3819013474,2016-05-22T00:00:00,245-0016,83,,,,,308,0.08,0.002
HGW0109674464,2016-05-22T00:00:00,245-0016,656,,,,,,,0.016
HGW4266179256,2016-05-22T00:00:00,595-0813,456,,,,,,,
HGW2675582057,2016-05-22T00:00:00,274-0063,2259,,,818,,,,
HGW2507102389,2016-05-22T00:00:00,245-0016,195,,,,,,,
HGW0292545493,2016-05-22T00:00:00,194-0032,404,,,,,,,
HGW1888757583,2016-05-22T00:00:00,194-0032,137,,,,,,,
HGW3087458710,2016-05-22T00:00:00,573-0084,56,,,,,224,0.065,
HGW2360924179,2016-05-22T00:00:00,245-0016,93,,,,,361,0.095,
HGW2979506575,2016-05-22T00:00:00,573-0084,734,,,,,,,0.106
HGW3939678160,2016-05-22T00:00:00,573-0084,136,,,,,305,0.105,0.008
HGW1901037140,2016-05-22T00:00:00,573-0084,2283,,,1024,,,,0.036
HGW2794906293,2016-05-22T00:00:00,194-0032,1145,,,,,,,
HGW1255839825,2016-05-22T00:00:00,573-0084,51,,,,,189,0.075,0.008
HGW1922304917,2016-05-22T00:00:00,274-0063,403,,,,,,,0.009
HGW0723606708,2016-05-22T00:00:00,194-0032,297,,,,,,,
HGW4233223550,2016-05-22T00:00:00,573-0084,47,,,,,204,0.07,0.008
HGW3975340233,2016-05-22T00:00:00,194-0032,1277,,,,,,,0.014
HGW1770315374,2016-05-22T00:00:00,245-0016,552,,,,,,,0.006
HGW2211161695,2016-05-22T00:00:00,573-0084,215,,,,,,,0.013
HGW3979453947,2016-05-22T00:00:00,274-0063,48,,,,,199,0.035,
HGW3210466135,2016-05-22T00:00:00,573-0084,536,,,,,,,
HGW1150228943,2016-05-22T00:00:00,194-0032,81,,,,,381,0.105,0.001
HGW3896978369,2016-05-22T00:00:00,245-0016,212,,,,,,,
HGW0224584910,2016-05-22T00:00:00,573-0084,62,,,,,296,0.08,0.006
HGW2352450618,2016-05-22T00:00:00,194-0032,273,,,,,,,
HGW1382864968,2016-05-22T00:00:00,194-0032,71,,,,,251,0.035,
HGW3299398081,2016-05-22T00:00:00,595-0813,132,,,,,603,0.155,
HGW3556093971,2016-05-22T00:00:00,595-0813,1514,,,300,,,,
HGW1779326846,2016-05-22T00:00:00,595-0813,45,,,,,241,0.08,
HGW0980111669,2016-05-22T00:00:00,245-0016,58,,,,,240,0.03,
HGW0548855049,2016-05-22T00:00:00,245-0016,239,,,,,,,0.001
HGW2019559833,2016-05-22T00:00:00,194-0032,240,,,,,,,
HGW0056767924,2016-05-22T00:00:00,245-0016,2059,,,,,,,0.058
HGW3905059517,2016-05-22T00:00:00,274-0063,612,,,,,,,0.013
HGW3107087926,2016-05-22T00:00:00,595-0813,175,,,,,,,
HGW4090376889,2016-05-22T00:00:00,245-0016,62,,,,,333,0.09,
HGW2896326762,2016-05-22T00:00:00,274-0063,46,,,,,212,0.035,
HGW3027793024,2016-05-22T00:00:00,245-0016,171,,,,,277,0.08,0.02
HGW1337358987,2016-05-22T00:00:00,274-0063,396,,,,,,,0.005
HGW3766800683,2016-05-22T00:00:00,194-0032,57,,,,,262,0.08,
HGW2238224375,2016-05-22T00:00:00,573-0084,275,,,544,,201,0.085,
HGW2500187106,2016-05-22T00:00:00,595-0813,126,,,,,324,0.17,0.052
HGW2633657355,2016-05-22T00:00:00,573-0084,115,,,,,339,0.14,0.06
HGW3036983001,2016-05-22T00:00:00,595-0813,449,,,,,,,0.004
HGW0340690536,2016-05-22T00:00:00,595-0813,81,,,,,263,0.075,
HGW3521173424,2016-05-22T00:00:00,245-0016,58,,,,,205,0.065,
HGW2405676507,2016-05-22T00:00:00,274-0063,45,,,,,112,0.065,
HGW1633016930,2016-05-22T00:00:00,573-0084,46,,,,,175,0.065,
HGW4048014188,2016-05-22T00:00:00,194-0032,72,,,,,257,0.075,0.005
HGW4228193834,2016-05-22T00:00:00,245-0016,279,,,,,,,
HGW3199834989,2016-05-22T00:00:00,245-0016,289,,,,,,0.005,
HGW0852590661,2016-05-22T00:00:00,595-0813,53,,,,,155,0.07,
HGW3417223008,2016-05-22T00:00:00,194-0032,256,,,,,377,0.105,0.009
HGW0008585550,2016-05-22T00:00:00,573-0084,398,,,,,,0.315,0.022
HGW3412860148,2016-05-22T00:00:00,194-0032,157,,,28,,350,0.355,
HGW0297198766,2016-05-22T00:00:00,595-0813,53,,,,,220,0.07,
HGW1392167190,2016-05-22T00:00:00,573-0084,70,,,,,279,0.155,0.072
HGW0359516503,2016-05-22T00:00:00,194-0032,48,,,,,197,0.065,
HGW2950693375,2016-05-22T00:00:00,573-0084,1622,,,1172,635,,,
HGW1540053189,2016-05-22T01:00:00,276-0046,160,,,,,,,
HGW1849081661,2016-05-22T01:00:00,261-0013,180,,,,,,,
HGW2592410415,2016-05-22T01:00:00,276-0046,50,,,,,235,0.07,
HGW4192227781,2016-05-22T01:00:00,206-0824,330,,,,,,,
HGW2440335259,2016-05-22T01:00:00,206-0824,50,,,,,191,0.06,
HGW0022302486,2016-05-22T01:00:00,276-0046,60,,,,,321,0.08,
