hemsId,date,postal,main,solarGenerated,solarSold,batteryCharge,batteryDischarge,fuelCell,gasUsage,waterUsage
HGW1540053189,2016-05-14T00:00:00,276-0046,170,,,,,,,
HGW1849081661,2016-05-14T00:00:00,261-0013,190,,,,,,,
HGW2592410415,2016-05-14T00:00:00,276-0046,60,,,,,249,0.07,
HGW4192227781,2016-05-14T00:00:00,206-0824,50,,,,,198,0.07,
HGW2440335259,2016-05-14T00:00:00,206-0824,60,,,,,295,0.08,
HGW0022302486,2016-05-14T00:00:00,276-0046,60,,,,,257,0.07,
HGW0119000400,2016-05-14T00:00:00,276-0046,2400,,,1667,,,,
HGW0527078356,2016-05-14T00:00:00,206-0824,40,,,,,164,0.06,
HGW3418795782,2016-05-14T00:00:00,276-0046,50,,,,,145,0.07,
HGW4086841355,2016-05-14T00:00:00,261-0013,50,,,,,173,0.07,
HGW2053016894,2016-05-14T00:00:00,261-0013,370,,,,,398,0.11,
HGW2056923843,2016-05-14T00:00:00,276-0046,560,,,,,,,
HGW1567490790,2016-05-14T00:00:00,276-0046,180,,,,,,,
HGW2731818357,2016-05-14T00:00:00,276-0046,120,,,,,,,
HGW0999938138,2016-05-14T00:00:00,261-0013,330,,,,,277,0.08,
HGW1484386037,2016-05-14T00:00:00,261-0013,60,,,,,193,0.08,
HGW2626196856,2016-05-14T00:00:00,276-0046,210,,,,,453,0.1,
HGW0341161038,2016-05-14T00:00:00,276-0046,50,,,,,266,0.08,
HGW3506558406,2016-05-14T00:00:00,276-0046,760,,,433,,,,
HGW3088922230,2016-05-14T00:00:00,206-0824,2500,,,2174,,,,
HGW3316354389,2016-05-14T00:00:00,276-0046,450,,,,,,0.01,
HGW3835466207,2016-05-14T00:00:00,261-0013,240,,,,,261,,
HGW0960788623,2016-05-14T00:00:00,206-0824,60,,,,,310,,
HGW2465318239,2016-05-14T00:00:00,206-0824,70,,,,,451,,
HGW4201723405,2016-05-14T00:00:00,206-0824,250,,,,,,,
HGW2984162470,2016-05-14T00:00:00,206-0824,704,,,198,10,,,
HGW2862754275,2016-05-14T00:00:00,573-0084,1182,,,,,,,
HGW2864422167,2016-05-14T00:00:00,274-0063,90,,,,,226,0.065,
HGW1145276568,2016-05-14T00:00:00,194-0032,49,,,,,187,0.065,
HGW1628028254,2016-05-14T00:00:00,245-0016,201,,,,,,,
HGW3819013474,2016-05-14T00:00:00,245-0016,64,,,,,231,0.06,0.011
HGW0109674464,2016-05-14T00:00:00,245-0016,1087,,,,,,,0.003
HGW4266179256,2016-05-14T00:00:00,595-0813,98,,,,,270,0.08,
HGW2675582057,2016-05-14T00:00:00,274-0063,2724,,,1487,,,,
HGW2507102389,2016-05-14T00:00:00,245-0016,572,,,,,,,
HGW0292545493,2016-05-14T00:00:00,194-0032,844,,,,,,,0.026
HGW1888757583,2016-05-14T00:00:00,194-0032,137,,,,,,,
HGW3087458710,2016-05-14T00:00:00,573-0084,817,,,,,,0.395,
HGW2360924179,2016-05-14T00:00:00,245-0016,180,,,,,361,0.09,
HGW2979506575,2016-05-14T00:00:00,573-0084,624,,,,,,,0.055
HGW3939678160,2016-05-14T00:00:00,573-0084,55,,,,,193,0.07,
HGW1901037140,2016-05-14T00:00:00,573-0084,1489,,,375,,,,
HGW2794906293,2016-05-14T00:00:00,194-0032,1622,,,128,,,,
HGW1255839825,2016-05-14T00:00:00,573-0084,48,,,,,191,0.07,
HGW1922304917,2016-05-14T00:00:00,274-0063,610,,,,,,,0.008
HGW0723606708,2016-05-14T00:00:00,194-0032,329,,,,,,,
